cdc_name,count2012,count2013,count2014,count2015,count2016,band12012,band12013,band12014,band12015,band12016,band22012,band22013,band22014,band22015,band22016,band32012,band32013,band32014,band32015,band32016,_band12012,_band12013,_band12014,_band12015,_band12016,_band22012,_band22013,_band22014,_band22015,_band22016,_band32012,_band32013,_band32014,_band32015,_band32016,meanscore2012,meanscore2013,meanscore2014,meanscore2015,meanscore2016,w_count2012,w_count2013,w_count2014,w_count2015,w_count2016,w_band12012,w_band12013,w_band12014,w_band12015,w_band12016,w_band22012,w_band22013,w_band22014,w_band22015,w_band22016,w_band32012,w_band32013,w_band32014,w_band32015,w_band32016,_w_band12012,_w_band12013,_w_band12014,_w_band12015,_w_band12016,_w_band22012,_w_band22013,_w_band22014,_w_band22015,_w_band22016,_w_band32012,_w_band32013,_w_band32014,_w_band32015,_w_band32016,w_meanscore2012,w_meanscore2013,w_meanscore2014,w_meanscore2015,w_meanscore2016,b_count2012,b_count2013,b_count2014,b_count2015,b_count2016,b_band12012,b_band12013,b_band12014,b_band12015,b_band12016,b_band22012,b_band22013,b_band22014,b_band22015,b_band22016,b_band32012,b_band32013,b_band32014,b_band32015,b_band32016,_b_band12012,_b_band12013,_b_band12014,_b_band12015,_b_band12016,_b_band22012,_b_band22013,_b_band22014,_b_band22015,_b_band22016,_b_band32012,_b_band32013,_b_band32014,_b_band32015,_b_band32016,b_meanscore2012,b_meanscore2013,b_meanscore2014,b_meanscore2015,b_meanscore2016,a_count2012,a_count2013,a_count2014,a_count2015,a_count2016,a_band12012,a_band12013,a_band12014,a_band12015,a_band12016,a_band22012,a_band22013,a_band22014,a_band22015,a_band22016,a_band32012,a_band32013,a_band32014,a_band32015,a_band32016,_a_band12012,_a_band12013,_a_band12014,_a_band12015,_a_band12016,_a_band22012,_a_band22013,_a_band22014,_a_band22015,_a_band22016,_a_band32012,_a_band32013,_a_band32014,_a_band32015,_a_band32016,a_meanscore2012,a_meanscore2013,a_meanscore2014,a_meanscore2015,a_meanscore2016,o_count2012,o_count2013,o_count2014,o_count2015,o_count2016,o_band12012,o_band12013,o_band12014,o_band12015,o_band12016,o_band22012,o_band22013,o_band22014,o_band22015,o_band22016,o_band32012,o_band32013,o_band32014,o_band32015,o_band32016,_o_band12012,_o_band12013,_o_band12014,_o_band12015,_o_band12016,_o_band22012,_o_band22013,_o_band22014,_o_band22015,_o_band22016,_o_band32012,_o_band32013,_o_band32014,_o_band32015,_o_band32016,o_meanscore2012,o_meanscore2013,o_meanscore2014,o_meanscore2015,o_meanscore2016,h_count2012,h_count2013,h_count2014,h_count2015,h_count2016,h_band12012,h_band12013,h_band12014,h_band12015,h_band12016,h_band22012,h_band22013,h_band22014,h_band22015,h_band22016,h_band32012,h_band32013,h_band32014,h_band32015,h_band32016,_h_band12012,_h_band12013,_h_band12014,_h_band12015,_h_band12016,_h_band22012,_h_band22013,_h_band22014,_h_band22015,_h_band22016,_h_band32012,_h_band32013,_h_band32014,_h_band32015,_h_band32016,h_meanscore2012,h_meanscore2013,h_meanscore2014,h_meanscore2015,h_meanscore2016
Flats Forward,26,25,27,21,36,16,13,8,6,22,9,11,14,12,11,1,1,5,3,3,61.54,52,29.63,28.57,61.11,34.62,44,51.85,57.14,30.56,3.85,4,18.52,14.29,8.33,12.46,12.28,16.56,257.67,250.75,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,19,16,25,18,30,12,6,7,6,19,6,9,13,11,9,1,1,5,1,2,63.16,37.5,28,33.33,63.33,31.58,56.25,52,61.11,30,5.26,6.25,20,5.56,6.67,12.63,13.56,17,255.67,250.03,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Harvard Community Services Center,160,141,128,141,123,47,41,51,46,36,77,67,46,69,59,36,33,31,26,28,29.38,29.08,39.84,32.62,29.27,48.13,47.52,35.94,48.94,47.97,22.5,23.4,24.22,18.44,22.76,17.57,17.87,16.51,257.82,260.73,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,157,140,124,137,122,46,40,49,44,36,76,67,45,69,59,35,33,30,24,27,29.3,28.57,39.52,32.12,29.51,48.41,47.86,36.29,50.36,48.36,22.29,23.57,24.19,17.52,22.13,17.55,17.92,16.5,257.8,260.64,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Historic Gateway Dev. Corp.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Historic Warehouse District,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Hough Dev. Corp.,172,125,139,134,130,58,48,60,50,58,76,60,53,63,55,38,17,26,21,17,33.72,38.4,43.17,37.31,44.62,44.19,48,38.13,47.01,42.31,22.09,13.6,18.71,15.67,13.08,17.02,15.66,15.62,255.15,254.33,999999,10,999999,999999,13,999999,4,999999,999999,8,999999,5,999999,999999,5,999999,1,999999,999999,0,999999,40,999999,999999,61.54,999999,50,999999,999999,38.46,999999,10,999999,999999,0,999999,16,999999,999999,249.15,152,107,124,124,113,54,40,51,48,49,67,52,48,55,47,31,15,25,21,17,35.53,37.38,41.13,38.71,43.36,44.08,48.6,38.71,44.35,41.59,20.39,14.02,20.16,16.94,15.04,16.68,15.74,16.13,254.86,254.76,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Kamm's Corners Dev. Corp.,102,137,140,127,89,31,49,49,40,27,36,48,51,56,39,35,40,40,31,23,30.39,35.77,35,31.5,30.34,35.29,35.04,36.43,44.09,43.82,34.31,29.2,28.57,24.41,25.84,18.95,17.77,17.66,259.36,259.35,40,55,52,45,52,10,14,11,10,16,16,21,19,21,18,14,20,22,14,18,25,25.45,21.15,22.22,30.77,40,38.18,36.54,46.67,34.62,35,36.36,42.31,31.11,34.62,19.55,19.76,20,261.6,261,43,51,56,52,33,14,22,21,22,8,15,18,20,21,20,14,11,15,9,5,32.56,43.14,37.5,42.31,24.24,34.88,35.29,35.71,40.38,60.61,32.56,21.57,26.79,17.31,15.15,18.77,16.18,17.23,257.17,258.24,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,14,21,18,19,999999,5,10,7,4,999999,4,6,9,9,999999,5,5,2,6,999999,35.71,47.62,38.89,21.05,999999,28.57,28.57,50,47.37,999999,35.71,23.81,11.11,31.58,999999,18,15.38,15.61,262.47,999999
Little Italy Redevelopment Corp.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Metro West Dev. Corp.,355,365,354,312,275,213,215,204,140,151,113,122,126,131,99,29,28,24,41,25,60,58.9,57.63,44.87,54.91,31.83,33.42,35.59,41.99,36,8.17,7.67,6.78,13.14,9.09,12.56,12.58,12.43,254.59,250.92,117,91,102,96,190,62,43,49,37,110,47,37,45,42,63,8,11,8,17,17,52.99,47.25,48.04,38.54,57.89,40.17,40.66,44.12,43.75,33.16,6.84,12.09,7.84,17.71,8.95,13.31,14.37,14.16,255.89,250.41,92,103,94,83,84,50,53,43,39,40,35,43,42,31,36,7,7,9,13,8,54.35,51.46,45.74,46.99,47.62,38.04,41.75,44.68,37.35,42.86,7.61,6.8,9.57,15.66,9.52,13.04,13.46,14.18,255.25,252.65,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,16,16,10,999999,8,12,7,3,999999,1,4,7,5,999999,1,0,2,2,999999,80,75,43.75,30,999999,10,25,43.75,50,999999,10,0,12.5,20,999999,12.9,10.81,14.06,257.8,999999,135,152,140,123,999999,93,106,103,61,999999,29,37,32,53,999999,13,9,5,9,999999,68.89,69.74,73.57,49.59,999999,21.48,24.34,22.86,43.09,999999,9.63,5.92,3.57,7.32,999999,11.49,10.97,9.93,252.86,999999
Midtown Cleveland Inc.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Mt. Pleasant NOW Comm. Dev. Corp.,119,123,126,114,94,32,54,68,52,39,55,48,42,49,40,32,21,16,13,15,26.89,43.9,53.97,45.61,41.49,46.22,39.02,33.33,42.98,42.55,26.89,17.07,12.7,11.4,15.96,17.91,15.72,13.94,255.39,256.19,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,116,122,124,112,92,31,53,66,51,38,53,48,42,48,39,32,21,16,13,15,26.72,43.44,53.23,45.54,41.3,45.69,39.34,33.87,42.86,42.39,27.59,17.21,12.9,11.61,16.3,18,15.75,14.1,255.46,256.54,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Northeast Shores Dev. Corp.,104,108,111,78,85,33,44,43,24,23,46,28,43,35,40,25,36,25,19,22,31.73,40.74,38.74,30.77,27.06,44.23,25.93,38.74,44.87,47.06,24.04,33.33,22.52,24.36,25.88,17.44,17.51,16.14,260.59,256.21,999999,14,999999,999999,10,999999,3,999999,999999,2,999999,2,999999,999999,1,999999,9,999999,999999,7,999999,21.43,999999,999999,20,999999,14.29,999999,999999,10,999999,64.29,999999,999999,70,999999,23,999999,999999,262.3,95,92,100,73,75,29,41,41,24,21,44,25,40,32,39,22,26,19,17,15,30.53,44.57,41,32.88,28,46.32,27.17,40,43.84,52,23.16,28.26,19,23.29,20,17.61,16.59,15.79,259.92,255.4,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Ohio City Inc.,48,44,43,29,37,23,25,25,10,19,17,14,12,12,12,8,5,6,7,6,47.92,56.82,58.14,34.48,51.35,35.42,31.82,27.91,41.38,32.43,16.67,11.36,13.95,24.14,16.22,14.21,13.09,12.6,256.28,253.89,13,10,13,999999,17,7,3,9,999999,7,4,4,1,999999,5,2,3,3,999999,5,53.85,30,69.23,999999,41.18,30.77,40,7.69,999999,29.41,15.38,30,23.08,999999,29.41,13.69,18.4,11.38,999999,255.82,19,19,16,12,20,7,11,7,5,12,9,7,8,4,7,3,1,1,3,1,36.84,57.89,43.75,41.67,60,47.37,36.84,50,33.33,35,15.79,5.26,6.25,25,5,15.42,13.11,14.06,257.08,252.25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,13,11,12,999999,999999,6,10,8,999999,999999,4,1,3,999999,999999,3,0,1,999999,999999,46.15,90.91,66.67,999999,999999,30.77,9.09,25,999999,999999,23.08,0,8.33,999999,999999,15.31,6.64,11.75,999999,999999
Old Brooklyn Community Dev. Corp.,143,155,193,151,171,55,50,86,67,79,63,77,75,66,63,25,28,32,18,29,38.46,32.26,44.56,44.37,46.2,44.06,49.68,38.86,43.71,36.84,17.48,18.06,16.58,11.92,16.96,15.95,16.96,14.66,254.18,254.5,75,74,89,76,117,29,23,38,28,58,36,37,37,38,41,10,14,14,10,18,38.67,31.08,42.7,36.84,49.57,48,50,41.57,50,35.04,13.33,18.92,15.73,13.16,15.38,15.64,17.45,15.02,255.54,253.07,26,41,46,34,50,13,11,14,16,18,8,20,23,14,21,5,10,9,4,11,50,26.83,30.43,47.06,36,30.77,48.78,50,41.18,42,19.23,24.39,19.57,11.76,22,15.27,18.41,16.02,252.32,258.34,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,34,34,52,33,999999,9,14,33,18,999999,16,18,12,12,999999,9,2,7,3,999999,26.47,41.18,63.46,54.55,999999,47.06,52.94,23.08,36.36,999999,26.47,5.88,13.46,9.09,999999,18.06,14.03,12.44,253.73,999999
Shaker Square Area Dev. Corp.,14,12,17,999999,12,5,4,5,999999,2,9,6,10,999999,6,0,2,2,999999,4,35.71,33.33,29.41,999999,16.67,64.29,50,58.82,999999,50,0,16.67,11.76,999999,33.33,14.5,18.25,17.35,999999,262.25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,14,11,17,999999,12,5,4,5,999999,2,9,5,10,999999,6,0,2,2,999999,4,35.71,36.36,29.41,999999,16.67,64.29,45.45,58.82,999999,50,0,18.18,11.76,999999,33.33,14.5,18.18,17.35,999999,262.25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Slavic Village Dev. Corp.,173,155,174,136,133,78,81,77,51,53,66,62,71,67,60,29,12,26,18,20,45.09,52.26,44.25,37.5,39.85,38.15,40,40.8,49.26,45.11,16.76,7.74,14.94,13.24,15.04,15.68,13.52,15.09,256.05,254.76,26,18,16,16,24,15,7,3,6,12,7,9,8,9,8,4,2,5,1,4,57.69,38.89,18.75,37.5,50,26.92,50,50,56.25,33.33,15.38,11.11,31.25,6.25,16.67,15.69,14.5,18.31,255.19,253.5,128,129,141,106,109,51,70,64,38,41,55,49,61,54,52,22,10,16,14,16,39.84,54.26,45.39,35.85,37.61,42.97,37.98,43.26,50.94,47.71,17.19,7.75,11.35,13.21,14.68,16.11,13.51,14.87,256.33,255.04,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,6,999999,999999,999999,999999,0,999999,999999,999999,999999,4,999999,999999,999999,999999,60,999999,999999,999999,999999,0,999999,999999,999999,999999,40,999999,999999,999999,999999,14.4,999999,999999,13,999999,999999,999999,999999,9,999999,999999,999999,999999,3,999999,999999,999999,999999,1,999999,999999,999999,999999,69.23,999999,999999,999999,999999,23.08,999999,999999,999999,999999,7.69,999999,999999,999999,999999,11.62,999999,999999,999999,999999
St. Clair Superior Dev. Corp.,265,200,214,197,171,100,84,89,62,68,129,78,87,100,66,36,38,38,35,37,37.74,42,41.59,31.47,39.77,48.68,39,40.65,50.76,38.6,13.58,19,17.76,17.77,21.64,16.06,15.52,15.64,258.46,255.7,11,10,999999,999999,999999,4,4,999999,999999,999999,4,4,999999,999999,999999,3,2,999999,999999,999999,36.36,40,999999,999999,999999,36.36,40,999999,999999,999999,27.27,20,999999,999999,999999,17.73,16.9,999999,999999,999999,243,179,200,183,159,95,73,80,59,61,117,72,83,92,62,31,34,37,32,36,39.09,40.78,40,32.24,38.36,48.15,40.22,41.5,50.27,38.99,12.76,18.99,18.5,17.49,22.64,15.84,15.6,15.97,258.16,256.11,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Tremont West Dev. Corp.,68,46,41,32,47,26,25,23,11,23,33,16,13,16,17,9,5,5,5,7,38.24,54.35,56.1,34.38,48.94,48.53,34.78,31.71,50,36.17,13.24,10.87,12.2,15.63,14.89,15.62,13.11,12.63,258.66,255.72,17,11,999999,999999,29,8,5,999999,999999,16,7,4,999999,999999,10,2,2,999999,999999,3,47.06,45.45,999999,999999,55.17,41.18,36.36,999999,999999,34.48,11.76,18.18,999999,999999,10.34,14.88,16.27,999999,999999,253.79,19,19,14,11,17,5,10,6,3,7,10,7,5,5,7,4,2,3,3,3,26.32,52.63,42.86,27.27,41.18,52.63,36.84,35.71,45.45,41.18,21.05,10.53,21.43,27.27,17.65,17.37,13.05,15.71,262.55,257.65,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,26,15,18,14,999999,10,10,12,6,999999,14,4,4,7,999999,2,1,2,1,999999,38.46,66.67,66.67,42.86,999999,53.85,26.67,22.22,50,999999,7.69,6.67,11.11,7.14,999999,14.81,10.67,10.78,255.29,999999
