neighbor10,_ebll_c2011,_ebll_c2012,_ebll_c2013,_ebll_c2014,_ebll_c2015,_ebll_5yavg,_w_ebll_c2011,_w_ebll_c2012,_w_ebll_c2013,_w_ebll_c2014,_w_ebll_c2015,_w_ebll_5yavg,_b_ebll_c2011,_b_ebll_c2012,_b_ebll_c2013,_b_ebll_c2014,_b_ebll_c2015,_b_ebll_5yavg,_a_ebll_c2011,_a_ebll_c2012,_a_ebll_c2013,_a_ebll_c2014,_a_ebll_c2015,_a_ebll_5yavg,_o_ebll_c2011,_o_ebll_c2012,_o_ebll_c2013,_o_ebll_c2014,_o_ebll_c2015,_o_ebll_5yavg,ordernum
North Shore Collinwood,16.38,10.17,8.7,18.05,12.09,13.078,9.09,7.14,5.88,5.71,13.89,8.342,18.29,10.89,8.73,19.77,11.62,13.86,,,,,,,3.23,3.85,12,6.67,18.75,8.9,26
Ohio City,15.66,10.58,12.13,6.23,9.41,10.802,19.19,15.63,15.19,6.67,10.29,13.394,12.94,8.84,11.45,5.66,8.7,9.518,999999,999999,999999,999999,999999,999999,21.88,0,8.7,9.52,6.67,9.354,27
Old Brooklyn,9.78,8.4,7.51,7.52,8.33,8.308,10.86,9.78,8.54,8.23,7.93,9.068,9.87,6.29,4.97,7.1,12.73,8.192,999999,999999,0,999999,999999,999999,3.53,4.17,8.47,3.45,0,3.924,28
St.Clair-Superior,35.14,33.56,24.09,23.29,25.81,28.378,44.44,36.84,0,999999,999999,999999,34.73,33.33,25.4,23.18,26.63,28.654,999999,999999,999999,999999,999999,999999,33.33,999999,18.75,999999,999999,999999,29
Stockyards,21.84,23.09,19.3,15.18,13.26,18.534,21.38,23.59,21.69,17.07,12.33,19.212,24.14,24.46,16.53,13.87,13.39,18.478,999999,999999,999999,999999,999999,999999,20.93,14.29,12.5,6.67,12,13.278,30
Tremont,13.27,20.18,15.17,11.7,13.5,14.764,15.09,24.58,20.18,14.58,14.94,17.874,12.35,16.3,11.9,8.11,9.62,11.656,999999,999999,999999,999999,999999,999999,8.7,8.33,0,11.76,20,9.758,31
Union-Miles,20.85,20.89,17.71,17.29,15.94,18.536,999999,999999,15.38,999999,999999,999999,19.68,20.34,17.9,17.06,16.28,18.252,999999,999999,999999,999999,999999,999999,35.9,26.67,15.63,23.81,13.64,23.13,32
University,15.91,10.14,7.41,10.23,5.33,9.804,0,999999,6.67,8.33,999999,999999,22.03,11.11,10.42,12.9,6.38,12.568,999999,999999,999999,999999,0,999999,8.33,15.38,0,999999,999999,999999,33
West Boulevard,12.99,13.44,12.98,12.14,9.81,12.272,14.78,12.33,12.88,9.46,9.52,11.794,13.41,15.73,15.16,16.25,11.84,14.478,0,0,0,999999,0,999999,4,14.63,7.27,12.2,2.63,8.146,34
Cleveland City,17.37,16.17,13.83,14.15,12.83,14.87,14.58,14.46,12.95,10.06,10.02,12.414,18.98,17.22,14.63,16.32,14.41,16.312,1.12,3.81,4.08,5.48,8.2,4.538,13.71,13.1,10.62,8.8,7.27,10.7,35
Cuyahoga County,12.94,11.69,9.74,10.21,8.97,10.71,9.06,8.16,7.15,5.82,5.31,7.1,16.45,14.59,12.07,13.77,12.06,13.788,3.62,6.16,4.71,5.2,6.1,5.158,7.28,6.91,5.43,5.04,3.8,5.692,36
