cdc_name,hsg_den2012,hsg_den2013,hsg_den2014,hsg_den2015,hsg_den2016,f2012,f2013,f2014,f2015,f2016,shf2012,shf2013,shf2014,shf2015,shf2016,pctchg_hsgden,pctchg_f,pctchg_shf,_f12,_f13,_f14,_f15,_f16,pctchgrt_f,_shf12,_shf13,_shf14,_shf15,_shf16,pctchgrt_shf
Bellaire Puritas Community Dev. Corp.,1708.75,1706.16,1702.64,1702.46,1715.97,275,224,159,148,157,169,131,141,143,127,0.42,-42.91,-24.85,2.98,2.43,1.73,1.61,1.69,-43.29,1.83,1.42,1.53,1.55,1.37,-25.14
Buckeye Shaker Square Dev Corp.,2348.33,2315.83,2282.32,2252.53,2212.92,208,206,155,168,320,138,98,128,144,190,-5.77,53.85,37.68,3,3.01,2.3,2.52,4.9,63.33,1.99,1.43,1.9,2.16,2.91,46.23
Burton Bell Carr Dev. Corp.,462.73,459.98,454.03,444.87,424.49,76,93,79,44,61,45,34,54,35,25,-8.26,-19.74,-44.44,3.76,4.63,3.98,2.26,3.29,-12.5,2.23,1.69,2.72,1.8,1.35,-39.46
"Campus District, Inc.",42.07,44.07,44.07,44.07,44.07,0,0,0,0,0,0,0,0,0,0,4.75,,,0,0,0,0,0,,0,0,0,0,0,
Collinwood Nottingham Villages Dev. Corp.,1433.04,1402.8,1379.8,1364.68,1344.3,99,75,80,48,72,54,41,39,59,30,-6.19,-27.27,-44.44,4.54,3.51,3.81,2.31,3.52,-22.47,2.48,1.92,1.86,2.84,1.47,-40.73
"Cudell Improvement, Inc.",2299.68,2284.5,2269.86,2267.15,2251.97,87,101,83,52,59,69,40,62,70,45,-2.07,-32.18,-34.78,2.05,2.4,1.98,1.24,1.42,-30.73,1.63,0.95,1.48,1.67,1.08,-33.74
Detroit Shoreway Community Dev. Org.,2141.27,2122.83,2116.07,2113,2100.71,64,70,64,52,40,56,37,38,33,49,-1.89,-37.5,-12.5,1.84,2.03,1.86,1.51,1.17,-36.41,1.61,1.07,1.1,0.96,1.43,-11.18
Downtown Cleveland Alliance,264.31,264.02,275.49,276.06,277.21,5,1,1,2,3,4,1,2,2,0,4.88,-40,-100,0.54,0.11,0.1,0.21,0.31,-42.59,0.43,0.11,0.21,0.21,0,-100
Fairfax Renaissance Dev. Corp.,1146.39,1117.57,1090.63,1059.31,998.55,54,63,90,50,43,35,22,48,33,27,-12.9,-20.37,-22.86,2.95,3.53,5.17,2.96,2.7,-8.47,1.91,1.23,2.76,1.95,1.69,-11.52
Famicos Foundation,2678.48,2631.02,2573.36,2552.18,2514.53,212,168,114,237,377,130,74,95,80,187,-6.12,77.83,43.85,3.1,2.5,1.74,3.64,5.88,89.68,1.9,1.1,1.45,1.23,2.92,53.68
