neighbor10,al_sales2012,al_sales2013,al_sales2014,al_sales2015,al_sales2016,sfsale2012,sfsale2013,sfsale2014,sfsale2015,sfsale2016,mfsale2012,mfsale2013,mfsale2014,mfsale2015,mfsale2016,cdsale2012,cdsale2013,cdsale2014,cdsale2015,cdsale2016,med_al_price2012,med_al_price2013,med_al_price2014,med_al_price2015,med_al_price2016,med_sfprice2012,med_sfprice2013,med_sfprice2014,med_sfprice2015,med_sfprice2016,med_mfprice2012,med_mfprice2013,med_mfprice2014,med_mfprice2015,med_mfprice2016,med_cdprice2012,med_cdprice2013,med_cdprice2014,med_cdprice2015,med_cdprice2016,distress2012,distress2013,distress2014,distress2015,distress2016,_distress2012,_distress2013,_distress2014,_distress2015,_distress2016,pctchg_alsales,pctchgrt_sfsales,pctchgrt_mfsales,pctchgrt_cdsales,pctchgrt_distress,pctchg_medalprice,pctchg_medsfprice,pctchg_medmfprice,pctchg_medcdprice,ntal_sales2012,ntal_sales2013,ntal_sales2014,ntal_sales2015,ntal_sales2016,med_ntal_price2012,med_ntal_price2013,med_ntal_price2014,med_ntal_price2015,med_ntal_price2016,pctchgrt_ntalsales,pctchg_medntalprice,_sfsale2012,_sfsale2013,_sfsale2014,_sfsale2015,_sfsale2016,_mfsale2012,_mfsale2013,_mfsale2014,_mfsale2015,_mfsale2016,_cdsale2012,_cdsale2013,_cdsale2014,_cdsale2015,_cdsale2016,_ntalsales2012,_ntalsales2013,_ntalsales2014,_ntalsales2015,_ntalsales2016
Detroit Shoreway,109,161,179,183,207,72,89,118,107,113,32,49,47,48,71,5,23,14,28,23,27500,26100,34000,37400,75000,20302.5,18800,33200,30500,85000,38900,20000,25000,30000,37000,252000,205000,234720,155412.5,285000,27,28,29,36,22,24.77,17.39,16.2,19.67,10.63,89.91,-17.36,16.83,142.05,-57.09,172.73,318.67,-4.88,13.1,56,102,120,134,128,38850,57900,40850,39500,100000,20.36,157.4,66.06,55.28,65.92,58.47,54.59,29.36,30.43,26.26,26.23,34.3,4.59,14.29,7.82,15.3,11.11,51.38,63.35,67.04,73.22,61.84
Downtown,24,50,54,52,36,1,5,2,3,1,,,,,,23,45,52,49,35,187400,239500,174450,218500,204000,307000,287719,336500,275000,273000,,,,,,186800,230000,172500,206000,198000,0,0,0,0,0,0,0,0,0,0,50,-33.33,,1.45,,8.86,-11.07,,6,23,50,51,50,36,188000,239500,174000,218500,204000,4.35,8.51,4.17,10,3.7,5.77,2.78,,,,,,95.83,90,96.3,94.23,97.22,95.83,100,94.44,96.15,100
Edgewater,34,50,55,65,65,22,27,32,37,27,8,18,13,21,26,4,5,10,7,12,61650,65750,115000,119500,110000,139000,111000,176500,165000,130000,33550,57950,88000,86500,115000,56600,44000,44250,48500,67750,1,1,0,4,1,2.94,2,0,6.15,1.54,91.18,-35.81,70,56.97,-47.62,78.43,-6.47,242.77,19.7,27,34,43,50,48,90000,84750,120000,134400,117593.5,-7,30.66,64.71,54,58.18,56.92,41.54,23.53,36,23.64,32.31,40,11.76,10,18.18,10.77,18.46,79.41,68,78.18,76.92,73.85
Euclid-Green,51,64,55,42,79,33,47,34,32,60,18,17,21,10,19,,,,,,8501,17050.5,14500,13590,20000,8500,17500,14500,12750,22900,15250,14500,12810,22300,10924,,,,,,26,21,18,14,26,50.98,32.81,32.73,33.33,32.91,54.9,17.37,-31.85,,-35.45,135.27,169.41,-28.37,,12,23,17,8,39,16426,23600,15000,13925,22012,109.82,34.01,64.71,73.44,61.82,76.19,75.95,35.29,26.56,38.18,23.81,24.05,,,,,,23.53,35.94,30.91,19.05,49.37
Fairfax,45,37,40,39,68,29,24,30,29,48,16,13,10,10,20,,,,,,10000,15000,22950,38400,22975,16000,31750,47250,60000,30500,6250,3500,5550,8700,14200,,,,,,23,17,12,13,21,51.11,45.95,30,33.33,30.88,51.11,9.54,-17.29,,-39.58,129.75,90.63,127.2,,16,13,18,20,35,54500,32500,14800,16250,20500,44.74,-62.39,64.44,64.86,75,74.36,70.59,35.56,35.14,25,25.64,29.41,,,,,,35.56,35.14,45,51.28,51.47
Glenville,281,325,344,401,422,165,187,221,245,266,116,136,122,155,155,,2,1,1,1,12000,11500,16250,16700,14512.5,13000,12000,16500,16420,14475,11728,10000,16250,16967,15000,,1000,3000,85000,14325,131,156,141,152,165,46.62,48,40.99,37.91,39.1,50.18,7.34,-11.02,,-16.13,20.94,11.35,27.9,,102,129,145,188,164,19675,17000,22000,20750,20000,7.05,1.65,58.72,57.54,64.24,61.1,63.03,41.28,41.85,35.47,38.65,36.73,,0.62,0.29,0.25,0.24,36.3,39.69,42.15,46.88,38.86
Goodrich-Kirtland Pk,18,29,19,20,29,10,10,11,7,6,7,18,8,11,23,1,1,,2,,26000,27100,21500,26300,25000,24250,15850,20000,21000,18400,20000,28750,32900,27600,26000,105000,85000,,160000,,5,2,2,1,3,27.78,6.9,10.53,5,10.34,61.11,-62.76,103.93,,-62.78,-3.85,-24.12,30,,12,27,16,18,24,36500,27100,25475,26300,26650,24.13,-26.99,55.56,34.48,57.89,35,20.69,38.89,62.07,42.11,55,79.31,5.56,3.45,,10,,66.67,93.1,84.21,90,82.76
Hopkins,1,1,,3,,1,1,,3,,,,,,,,,,,,110000,119000,,125000,,110000,119000,,125000,,,,,,,,,,,,0,0,,0,,0,0,,0,,,,,,,,,,,1,,,2,,110000,,,102225,,,,100,100,,100,,,,,,,,,,,,100,,,66.67,
Hough,62,64,63,67,72,43,43,41,42,45,19,21,22,25,27,,,,,,13250,11850,12000,11500,15000,16025,19750,12000,10450,17100,8500,8700,12375,12900,14100,,,,,,26,28,25,30,27,41.94,43.75,39.68,44.78,37.5,16.13,-9.88,22.35,,-10.59,13.21,6.71,65.88,,18,35,25,31,40,24600,16750,15000,15000,14750,91.39,-40.04,69.35,67.19,65.08,62.69,62.5,30.65,32.81,34.92,37.31,37.5,,,,,,29.03,54.69,39.68,46.27,55.56
Jefferson,180,217,212,265,239,166,192,196,235,213,14,25,16,30,26,,,,,,29992.5,30500,35000,42000,46525,29942.5,30750,35000,41900,46250,35500,30000,38250,56197,51125,,,,,,11,4,10,15,6,6.11,1.84,4.72,5.66,2.51,32.78,-3.36,39.85,,-58.92,55.12,54.46,44.01,,88,98,122,153,147,37000,42500,41750,50315,53000,25.81,43.24,92.22,88.48,92.45,88.68,89.12,7.78,11.52,7.55,11.32,10.88,,,,,,48.89,45.16,57.55,57.74,61.51
Kamm's,309,367,375,435,518,299,352,361,412,499,9,14,12,22,18,1,1,2,1,1,76000,85500,92500,93400,102750,76000,86250,91500,91375,102000,81700,80137.5,117250,118543.5,121975,12700,25000,45000,99500,14000,3,1,3,6,2,0.97,0.27,0.8,1.38,0.39,67.64,-0.44,19.24,-40.63,-59.79,35.2,34.21,49.3,10.24,218,271,307,351,410,81750,94000,97000,99000,107000,12.19,30.89,96.76,95.91,96.27,94.71,96.33,2.91,3.81,3.2,5.06,3.47,0.32,0.27,0.53,0.23,0.19,70.55,73.84,81.87,80.69,79.15
Kinsman,44,67,61,66,82,20,41,39,33,48,23,26,22,31,33,1,,,2,1,7750,10880,19750,15250,13700,8500,18500,19800,15500,17000,7100,5589,15375,13000,9000,6500,,,33450,4513,25,32,21,28,33,56.82,47.76,34.43,42.42,40.24,86.36,28.8,-23.02,-46.26,-29.18,76.77,100,26.76,-30.57,17,28,29,35,29,10600,20475,25750,24750,16000,-8.46,50.94,45.45,61.19,63.93,50,58.54,52.27,38.81,36.07,46.97,40.24,2.27,,,3.03,1.22,38.64,41.79,47.54,53.03,35.37
Lee-Harvard,130,162,146,193,253,128,160,145,191,252,2,2,1,2,1,,,,,,18250,21500,25025,22000,35000,18750,21375,25050,22000,35250,6800,36500,19500,25000,14400,,,,,,30,32,26,34,39,23.08,19.75,17.81,17.62,15.42,94.62,1.16,-74.03,,-33.19,91.78,88,111.76,,45,73,64,73,99,24900,25000,26000,22000,29000,13.03,16.47,98.46,98.77,99.32,98.96,99.6,1.54,1.23,0.68,1.04,0.4,,,,,,34.62,45.06,43.84,37.82,39.13
Lee-Seville,55,62,58,88,92,55,60,57,88,91,,2,1,,1,,,,,,13100,16000,16517.5,21600,15250.5,13100,16475,16535,21600,15001,,3525,15000,,56600,,,,,,18,19,12,18,34,32.73,30.65,20.69,20.45,36.96,67.27,-1.09,,,12.92,16.42,14.51,,,22,21,24,40,35,21650,20000,19500,20294,17000,-4.9,-21.48,100,96.77,98.28,100,98.91,,3.23,1.72,,1.09,,,,,,40,33.87,41.38,45.45,38.04
Mount Pleasant,171,201,217,266,325,104,110,126,159,175,67,91,91,107,150,,,,,,8700,13000,13375,14986.5,14000,10000,15050,13925,15000,13500,7254,12350,12000,12500,15000,,,,,,98,84,90,106,119,57.31,41.79,41.47,39.85,36.62,90.06,-11.46,17.79,,-36.1,60.92,35,106.78,,49,81,94,101,91,11000,19000,17561,23000,18000,-2.27,63.64,60.82,54.73,58.06,59.77,53.85,39.18,45.27,41.94,40.23,46.15,,,,,,28.65,40.3,43.32,37.97,28
North Shore Collinwood,167,198,168,185,222,120,145,117,138,167,45,53,50,46,55,2,,1,1,,28500,30000,33750,36600,36250,27500,34000,36000,38750,40000,29000,27000,27801,26635,22500,53750,,119900,159000,,29,29,24,24,30,17.37,14.65,14.29,12.97,13.51,32.93,4.69,-8.09,,-22.22,27.19,45.45,-22.41,,87,97,95,103,106,38000,39000,45400,50000,44750,-8.35,17.76,71.86,73.23,69.64,74.59,75.23,26.95,26.77,29.76,24.86,24.77,1.2,,0.6,0.54,,52.1,48.99,56.55,55.68,47.75
Ohio City,92,135,122,148,155,33,65,60,68,71,19,41,29,38,40,40,29,33,42,44,155750,82000,162250,140000,145000,92000,70500,142000,119855,107000,35000,30400,104500,59750,90500,197750,200000,200000,191250,193000,6,13,5,7,3,6.52,9.63,4.1,4.73,1.94,68.48,27.71,24.99,-34.71,-70.25,-6.9,16.3,158.57,-2.4,73,102,99,118,123,180000,135000,190000,146000,150000,0,-16.67,35.87,48.15,49.18,45.95,45.81,20.65,30.37,23.77,25.68,25.81,43.48,21.48,27.05,28.38,28.39,79.35,75.56,81.15,79.73,79.35
Old Brooklyn,355,409,414,475,481,296,350,346,384,396,51,57,62,80,77,8,2,6,11,8,43000,40000,50000,53000,59000,43250,42150,51000,53429,60000,38000,30600,44000,46250,50000,50500,73000,80000,84000,78250,14,15,14,12,13,3.94,3.67,3.38,2.53,2.7,35.49,-1.26,11.41,-26.22,-31.47,37.21,38.73,31.58,54.95,222,235,282,319,329,56450,55000,57420,59500,65000,9.37,15.15,83.38,85.57,83.57,80.84,82.33,14.37,13.94,14.98,16.84,16.01,2.25,0.49,1.45,2.32,1.66,62.54,57.46,68.12,67.16,68.4
St.Clair-Superior,64,89,83,73,109,30,47,39,34,58,34,42,44,39,51,,,,,,8000,9000,10000,9632,12700,8250,14600,14200,8500,12350,5500,4133.5,6500,10600,13000,,,,,,39,47,42,39,47,60.94,52.81,50.6,53.42,43.12,70.31,13.5,-11.93,,-29.24,58.75,49.7,136.36,,29,39,39,43,54,8750,15000,13000,10600,16475,9.34,88.29,46.88,52.81,46.99,46.58,53.21,53.13,47.19,53.01,53.42,46.79,,,,,,45.31,43.82,46.99,58.9,49.54
Stockyards,113,113,139,135,137,74,68,81,79,93,39,45,58,56,44,,,,,,11000,12000,19750,15000,18888,11000,11550,19700,14000,18888,12000,13000,21628,18500,21250,,,,,,53,47,35,57,39,46.9,41.59,25.18,42.22,28.47,21.24,3.65,-6.93,,-39.3,71.71,71.71,77.08,,54,46,67,73,59,11500,14261,21500,17000,20000,-9.88,73.91,65.49,60.18,58.27,58.52,67.88,34.51,39.82,41.73,41.48,32.12,,,,,,47.79,40.71,48.2,54.07,43.07
Tremont,86,100,100,108,118,58,65,65,58,62,25,29,26,44,52,3,6,9,6,4,84950,110857.5,85000,87500,90000,112000,128000,100000,120000,136000,49000,50000,62500,52500,70000,210000,161500,173500,244817.5,152500,11,8,7,3,8,12.79,8,7,2.78,6.78,37.21,-22.09,51.6,-2.87,-46.99,5.94,21.43,42.86,-27.38,65,87,82,87,97,120000,125000,97000,97500,100000,8.76,-16.67,67.44,65,65,53.7,52.54,29.07,29,26,40.74,44.07,3.49,6,9,5.56,3.39,75.58,87,82,80.56,82.2
Union-Miles,220,275,268,301,424,165,209,209,236,326,55,66,59,65,98,,,,,,9129,12000,14950,15000,14950,10000,11000,15000,15000,14250,6000,14500,14539,10000,17375,,,,,,118,125,105,132,171,53.64,45.45,39.18,43.85,40.33,92.73,2.52,-7.56,,-24.81,63.76,42.5,189.58,,69,98,98,111,162,11000,15355,22000,21900,18450,21.84,67.73,75,76,77.99,78.41,76.89,25,24,22.01,21.59,23.11,,,,,,31.36,35.64,36.57,36.88,38.21
University,20,21,17,33,29,8,10,7,17,19,8,9,8,6,4,4,2,2,10,6,142950,150000,170000,150000,142500,400811,349500,23000,308000,97500,48000,125000,156750,82500,171000,128200,217500,383750,147500,168250,5,1,3,3,3,25,4.76,17.65,9.09,10.34,45,63.8,-65.53,3.45,-58.64,-0.31,-75.67,256.25,31.24,18,18,17,29,24,158000,192500,170000,196000,159750,-8.04,1.11,40,47.62,41.18,51.52,65.52,40,42.86,47.06,18.18,13.79,20,9.52,11.76,30.3,20.69,90,85.71,100,87.88,82.76
West Boulevard,175,184,208,253,282,118,137,146,175,186,57,47,62,78,96,,,,,,20250,22950,26905,27800,35000,20750,23000,24275,24850,34000,19500,20000,31500,36250,35000,,,,,,36,38,24,46,39,20.57,20.65,11.54,18.18,13.83,61.14,-2.18,4.51,,-32.77,72.84,63.86,79.49,,72,75,113,123,145,25500,30000,32000,37600,38000,24.99,49.02,67.43,74.46,70.19,69.17,65.96,32.57,25.54,29.81,30.83,34.04,,,,,,41.14,40.76,54.33,48.62,51.42
Cleveland City,3803,4567,4643,5164,5931,2735,3240,3298,3615,4207,956,1175,1187,1340,1549,112,152,158,209,175,22000,24000,26000,28375,30000,24000,25575,27050,29000,32000,15000,16100,20000,22000,22000,164000,161500,160000,149000,152000,1081,1138,997,1128,1262,28.42,24.92,21.47,21.84,21.28,55.96,-1.38,3.9,0,-25.12,36.36,33.33,46.67,-7.32,1819,2323,2577,2880,3121,34925,33800,35100,40000,40800,10.01,16.82,71.92,70.94,71.03,70,70.93,25.14,25.73,25.57,25.95,26.12,2.95,3.33,3.4,4.05,2.95,47.83,50.86,55.5,55.77,52.62
Cuyahoga County,14212,17404,17097,19039,21597,11623,14105,13884,15259,17501,1348,1642,1642,1903,2176,1241,1657,1571,1877,1920,75000,80000,84900,85600,95000,85000,92000,94850,97000,108000,23000,23299.5,29900,30068,33000,68000,72000,75000,78000,80965,1376,1438,1270,1464,1590,9.68,8.26,7.43,7.69,7.36,51.96,-0.92,6.33,1.83,-23.97,26.67,27.06,43.48,19.07,9505,12049,12352,13594,15369,105000,110000,110000,115000,120000,6.4,14.29,81.78,81.04,81.21,80.15,81.03,9.48,9.43,9.6,10,10.08,8.73,9.52,9.19,9.86,8.89,66.88,69.23,72.25,71.4,71.16
