neighbor10,ams_res2012,ams_res2013,ams_res2014,ams_res2015,ams_res2016,res_occ2012,res_occ2013,res_occ2014,res_occ2015,res_occ2016,ams_bus2012,ams_bus2013,ams_bus2014,ams_bus2015,ams_bus2016,bus_occ2012,bus_occ2013,bus_occ2014,bus_occ2015,bus_occ2016,_res_occ2012,_res_occ2013,_res_occ2014,_res_occ2015,_res_occ2016,_bus_occ2012,_bus_occ2013,_bus_occ2014,_bus_occ2015,_bus_occ2016,pctchgrt_res,pctchgrt_bus
Glenville,17072.786735060003,16765.12757515,16540.037666279997,16336.45896181,16117.90040751,12805.620008190002,12403.513608090001,12213.956936149996,12157.009604899999,11832.842261130001,773.7340218399999,772.6497026299999,772.9880743499999,771.5532377799999,757.6339917299999,633.5642584199999,621.4615529499999,616.95058003,613.14797052,600.11595398,75.01,73.98,73.84,74.42,73.41,81.88,80.43,79.81,79.47,79.21,-2.13,-3.26
Goodrich-Kirtland Pk,3229.25,3226.25,3231.75,3234,3235.5,3018.25,3016,3017.5,3054,3042,1249.25,1245.75,1229.25,1236,1250,1105.5,1100.25,1068.5,1082.25,1084.5,93.47,93.48,93.37,94.43,94.02,88.49,88.32,86.92,87.56,86.76,0.59,-1.96
Hopkins,736.23821102,759.69866662,783.49048377,801.25841887,815.72605834,733.23605608,756.91305332,780.56125923,798.682064,813.12057066,371.88626128,349.33420327,325.3955973,310.89117335,295.99734217,366.40845239,344.92614719,316.53021403,296.67986211,283.06413733000005,99.59,99.63,99.63,99.68,99.68,98.53,98.74,97.28,95.43,95.63,0.09,-2.94
Hough,7015.30252276,6971.819824359999,6875.080954930001,6841.200464740001,6879.184454990001,6076.8756049,5994.99659827,5879.697804510001,5845.586052510001,5825.461883450001,380.40523738999997,371.02952502999995,360.70658516,352.06227678,348.21419662,349.70697196,338.98199489999996,326.92621189,322.33140621,318.80244011999997,86.62,85.99,85.52,85.45,84.68,91.93,91.36,90.63,91.56,91.55,-2.24,-0.41
Jefferson,7649.949926470001,7653.36830631,7620.99016211,7579.90076084,7585.068175530001,7147.978060410001,7160.77293649,7181.50052834,7226.4560565,7284.728708850002,534.9138150900001,531.2743586500001,527.3034447499999,526.08139636,523.61507729,468.9048315400001,469.85856228000006,465.7166322399999,467.36589369,471.70344019000004,93.44,93.56,94.23,95.34,96.04,87.66,88.44,88.32,88.84,90.09,2.78,2.77
Kamm's,13124.08202292,13161.4699653,13041.69683885,13109.078736720001,13152.85440823,12689.863492299999,12753.12117399,12664.96093479,12811.899127890001,12879.80447216,737.4075570999998,721.54298058,705.4525004500001,704.18274642,701.68826198,645.3392689399998,635.3630245999999,624.7517488500001,634.2154712199999,636.10583145,96.69,96.9,97.11,97.73,97.92,87.51,88.06,88.56,90.06,90.65,1.27,3.59
Kinsman,4148.21238763,4029.82511544,3663.2872651,3635.47187468,3606.3797877,3406.1235744600003,3391.7643201,3013.28796969,3017.0111278,2992.14284863,247.9161896,245.35642651000003,238.05259955000002,232.25313895000002,233.35200062,212.45785002,209.46461122000005,202.90192846000002,196.30257035000002,195.95957648,82.11,84.17,82.26,82.99,82.97,85.7,85.37,85.23,84.52,83.98,1.05,-2.01
Lee-Harvard,5480.99094077,5501.43919861,5308.96498258,5231.06829268,5236.63728223,5239.88501743,5238.22073171,5038.61672474,4953.00452961,4949.15069686,415.58745645,394.83745645,349.33745645,335.58745645,331.08745645,401.51846689999996,378.5184669,331.50121952,316.59599304,310.5097561,95.6,95.22,94.91,94.68,94.51,96.61,95.87,94.89,94.34,93.78,-1.14,-2.93
Lee-Seville,2302.61855483,2296.8988743600003,2294.48329702,2301.16212781,2297.95933188,2058.94734931,2036.0688090000003,2025.09894698,2025.81844589,2045.5482933899998,177.63907044,177.40595496999998,177.94989107,177.90595496999998,178.34513435,152.89905592000002,147.62200435,143.74364561000002,144.51053012999998,146.68282498,89.42,88.64,88.26,88.03,89.02,86.07,83.21,80.78,81.23,82.25,-0.45,-4.44
Mount Pleasant,10405.839224,10337.58432953,10277.170155299998,10139.9025078,10122.39286402,7964.975886169999,7728.290223059999,7504.542963089998,7584.91656247,7555.206088189999,329.29882354,328.9325406,326.99113123,324.59573597,328.59851025,266.04468667,264.1756132,257.60403056,261.00870171,245.22818949,76.54,74.76,73.02,74.8,74.64,80.79,80.31,78.78,80.41,74.63,-2.48,-7.62
North Shore Collinwood,9293.982912259999,9269.84940481,9228.9691367,9153.02237267,9118.5357391,8117.972628229998,8052.16785666,8016.72588437,7937.14105094,7981.857856209999,545.1328909599999,542.6701152200001,535.45113544,535.4107335,549.50611998,462.77569045999996,448.51206621000006,428.57585522,431.42145467,439.04700951,87.35,86.86,86.86,86.72,87.53,84.89,82.65,80.04,80.58,79.9,0.21,-5.88
