neighbor10,count2011,count2012,count2013,count2014,count2015,band12011,band12012,band12013,band12014,band12015,band22011,band22012,band22013,band22014,band22015,band32011,band32012,band32013,band32014,band32015,pctband12011,pctband12012,pctband12013,pctband12014,pctband12015,pctband22011,pctband22012,pctband22013,pctband22014,pctband22015,pctband32011,pctband32012,pctband32013,pctband32014,pctband32015,meanscore2011,meanscore2012,meanscore2013,meanscore2014,meanscore2015
Kamm's,142,110,144,144,132,31,34,49,52,18,73,40,53,52,72,38,36,42,40,42,21.83,30.91,34.03,36.11,13.64,51.41,36.36,36.81,36.11,54.55,26.76,32.73,29.17,27.78,31.82,18.67,18.7,17.96,17.35,24.83
Kinsman,70,72,52,61,64,30,29,30,25,10,31,30,15,24,43,9,13,7,12,11,42.86,40.28,57.69,40.98,15.63,44.29,41.67,28.85,39.34,67.19,12.86,18.06,13.46,19.67,17.19,14.56,15.83,12.98,15.46,23.67
Lee-Harvard,64,58,66,49,52,24,12,19,20,4,26,33,30,18,31,14,13,17,11,17,37.5,20.69,28.79,40.82,7.69,40.63,56.9,45.45,36.73,59.62,21.88,22.41,25.76,22.45,32.69,15.73,18.22,18.14,16.51,25.69
Lee-Seville,40,38,20,19,23,11,13,9,7,4,19,18,8,8,16,10,7,3,4,3,27.5,34.21,45,36.84,17.39,47.5,47.37,40,42.11,69.57,25,18.42,15,21.05,13.04,17.5,17.24,16.15,16.37,22.83
Mount Pleasant,165,127,114,134,110,55,31,46,66,19,65,61,44,46,74,45,35,24,22,17,33.33,24.41,40.35,49.25,17.27,39.39,48.03,38.6,34.33,67.27,27.27,27.56,21.05,16.42,15.45,17.28,18.24,16.34,14.96,22.04
North Shore Collinwood,119,95,102,101,65,32,28,39,40,4,52,42,28,36,41,35,25,35,25,20,26.89,29.47,38.24,39.6,6.15,43.7,44.21,27.45,35.64,63.08,29.41,26.32,34.31,24.75,30.77,18.24,17.73,17.73,16.11,25.94
Ohio City,61,66,59,62,55,26,37,34,31,8,28,21,19,20,35,7,8,6,11,12,42.62,56.06,57.63,50,14.55,45.9,31.82,32.2,32.26,63.64,11.48,12.12,10.17,17.74,21.82,14.69,13.17,12.63,13.95,24.22
Old Brooklyn,181,143,155,193,148,67,55,50,86,30,82,63,77,75,89,32,25,28,32,29,37.02,38.46,32.26,44.56,20.27,45.3,44.06,49.68,38.86,60.14,17.68,17.48,18.06,16.58,19.59,16.19,15.95,16.96,14.66,22.54
St.Clair-Superior,64,53,53,52,51,20,28,19,22,5,30,18,26,22,33,14,7,8,8,13,31.25,52.83,35.85,42.31,9.8,46.88,33.96,49.06,42.31,64.71,21.88,13.21,15.09,15.38,25.49,16.88,14.72,15.51,14.44,25.29
Stockyards,93,124,118,132,103,54,77,72,75,21,33,43,37,47,60,6,4,9,10,22,58.06,62.1,61.02,56.82,20.39,35.48,34.68,31.36,35.61,58.25,6.45,3.23,7.63,7.58,21.36,12.8,12.21,12.14,12.48,23.04
Tremont,60,68,46,41,30,26,26,25,23,4,24,33,16,13,19,10,9,5,5,7,43.33,38.24,54.35,56.1,13.33,40,48.53,34.78,31.71,63.33,16.67,13.24,10.87,12.2,23.33,15.85,15.62,13.11,12.63,25.13
Union-Miles,172,144,109,128,133,74,57,45,57,27,71,62,52,51,81,27,25,12,20,25,43.02,39.58,41.28,44.53,20.3,41.28,43.06,47.71,39.84,60.9,15.7,17.36,11.01,15.63,18.8,15.45,16.22,14.97,14.2,23.62
University,999999,999999,999999,11,999999,999999,999999,999999,4,999999,999999,999999,999999,4,999999,999999,999999,999999,3,999999,999999,999999,999999,36.36,999999,999999,999999,999999,36.36,999999,999999,999999,999999,27.27,999999,999999,999999,999999,18.18,999999
West Boulevard,159,164,163,173,189,75,84,91,85,30,63,58,55,73,111,21,22,17,15,48,47.17,51.22,55.83,49.13,15.87,39.62,35.37,33.74,42.2,58.73,13.21,13.41,10.43,8.67,25.4,14.53,14.48,13.67,13.61,24.45
_Suburbs,87,118,130,118,93,19,29,29,38,10,33,57,49,41,38,35,32,52,39,45,21.84,24.58,22.31,32.2,10.75,37.93,48.31,37.69,34.75,40.86,40.23,27.12,40,33.05,48.39,19.72,18.69,19.78,17.89,27.33
_Unknown neighborhood,22,12,21,28,106,9,6,9,15,17,9,3,6,9,62,4,3,6,4,27,40.91,50,42.86,53.57,16.04,40.91,25,28.57,32.14,58.49,18.18,25,28.57,14.29,25.47,13.91,15.58,14.9,13.25,24.49
__CMSD,3304,3147,2858,3057,2745,1289,1285,1263,1397,445,1378,1313,1086,1155,1636,637,549,509,505,664,39.01,40.83,44.19,45.7,16.21,41.71,41.72,38,37.78,59.6,19.28,17.45,17.81,16.52,24.19,15.99,15.86,15.4,14.92,23.9
