cdc_name,rent_den2000,cashrent2000,roccrntls2002000,roccrnt200to3002000,roccrnt300to5002000,roccrnt500to7502000,roccrnt750to10002000,roccrnt1000to15002000,roccrnt1500p2000,norent2000,_grent2000,_cashrent2000,_roccrntls2002000,_roccrnt200to3002000,_roccrnt300to5002000,_roccrnt500to7502000,_roccrnt750to10002000,_roccrnt1000to15002000,_roccrnt1500p2000,_norent2000,rent_den2014,cashrent2014,roccrntls2002014,roccrnt200to3002014,roccrnt300to5002014,roccrnt500to7502014,roccrnt750to10002014,roccrnt1000to15002014,roccrnt1500p2014,norent2014,_grent2014,mrent_den2014,mcashrent2014,mroccrntls2002014,mroccrnt200to3002014,mroccrnt300to5002014,mroccrnt500to7502014,mroccrnt750to10002014,mroccrnt1000to15002014,mroccrnt1500p2014,mnorent2014,m_grent2014,_cashrent2014,_roccrntls2002014,_roccrnt200to3002014,_roccrnt300to5002014,_roccrnt500to7502014,_roccrnt750to10002014,_roccrnt1000to15002014,_roccrnt1500p2014,_norent2014,m_cashrent2014,m_roccrntls2002014,m_roccrnt200to3002014,m_roccrnt300to5002014,m_roccrnt500to7502014,m_roccrnt750to10002014,m_roccrnt1000to15002014,m_roccrnt1500p2014,m_norent2014,pctchgrt_rhh,pctchg_mdrent,hhinc_den2000,hhincls10k2000,hhinc10to15k2000,hhinc15to25k2000,hhinc25to35k2000,hhinc35to50k2000,hhinc50to75k2000,hhinc75to100k2000,hhinc100to150k2000,hhinc150to200k2000,hhinc200kp2000,_medinc2000,_hhincls10k2000,_hhinc10to15k2000,_hhinc15to25k2000,_hhinc25to35k2000,_hhinc35to50k2000,_hhinc50to75k2000,_hhinc75to100k2000,_hhinc100to150k2000,_hhinc150to200k2000,_hhinc200kp2000,thh2014,hhincls10k2014,hhinc10to15k2014,hhinc15to25k2014,hhinc25to35k2014,hhinc35to50k2014,hhinc50to75k2014,hhinc75to100k2014,hhinc100to150k2014,hhinc150to200k2014,hhinc200kp2014,_medinc2014,mthh2014,mhhincls10k2014,mhhinc10to15k2014,mhhinc15to25k2014,mhhinc25to35k2014,mhhinc35to50k2014,mhhinc50to75k2014,mhhinc75to100k2014,mhhinc100to150k2014,mhhinc150to200k2014,mhhinc200kp2014,_hhincls10k2014,_hhinc10to15k2014,_hhinc15to25k2014,_hhinc25to35k2014,_hhinc35to50k2014,_hhinc50to75k2014,_hhinc75to100k2014,_hhinc100to150k2014,_hhinc150to200k2014,_hhinc200kp2014,m_hhincls10k2014,m_hhinc10to15k2014,m_hhinc15to25k2014,m_hhinc25to35k2014,m_hhinc35to50k2014,m_hhinc50to75k2014,m_hhinc75to100k2014,m_hhinc100to150k2014,m_hhinc150to200k2014,m_hhinc200kp2014,tpv2000,bpv2000,_bpv2000,tpv2014,bpv2014,_bpv2014,mtpv2014,mbpv2014,m_bpv2014,pctchgrt_pov,bpv1p2014,bpv_samehou2014,bpv_diffhou2014,mbpv1p2014,mbpv_samehou2014,mbpv_diffhou2014,_bpv_samehou2014,_bpv_diffhou2014,m_bpv_samehou2014,m_bpv_diffhou2014,pop2000,pop2014,mpop2014,pctchg_pop,nhw2000,nhb2000,nhapi2000,nho2000,hisp2000,_nhw2000,_nhb2000,_nhapi2000,_nho2000,_hisp2000,nhw2014,nhb2014,nhapi2014,nho2014,hisp2014,mnhw2014,mnhb2014,mnhapi2014,mnho2014,mhisp2014,_nhw2014,_nhb2014,_nhapi2014,_nho2014,_hisp2014,m_nhw2014,m_nhb2014,m_nhapi2014,m_nho2014,m_hisp2014,pctchgrt_nhw,pctchgrt_nhb,pctchgrt_nhapi,pctchgrt_nho,pctchgrt_hisp,clf2000,unemp2000,_unemp2000,clf2014,unemp2014,_unemp2014,mclf2014,munemp2014,m_unemp2014,pctchgrt_unemp,pop16p2000,lf2000,_lf2000,pop16p2014,lf2014,_lf2014,mpop16p2014,mlf2014,m_lf2014,pctchgrt_lf,pop25p2000,hsls92000,hs9to122000,hsgrad2000,somecoll2000,assoc2000,bs2000,prof2000,_hsls92000,_hs9to122000,_hsgrad2000,_somecoll2000,_assoc2000,_bs2000,_prof2000,pop25p2014,hsls92014,hs9to122014,hsgrad2014,somecoll2014,assoc2014,bs2014,prof2014,mpop25p2014,mhsls92014,mhs9to122014,mhsgrad2014,msomecoll2014,massoc2014,mbs2014,mprof2014,_hsls92014,_hs9to122014,_hsgrad2014,_somecoll2014,_assoc2014,_bs2014,_prof2014,m_hsls92014,m_hs9to122014,m_hsgrad2014,m_somecoll2014,m_assoc2014,m_bs2014,m_prof2014,pctchgrt_hsls9,pctchgrt_hs9to12,pctchgrt_hsgrad,pctchgrt_somecoll,pctchgrt_assoc,pctchgrt_bs,pctchgrt_prof,alljobs2009,alljobs2010,alljobs2011,alljobs2012,alljobs2013,pctchg_alljobs,emp2000,_emp2000,emp2014,memp2014,_emp2014,m_emp2014,pctchgrt_emp,m_medinc2014,cvrent_den2014,cvcashrent2014,cvroccrntls2002014,cvroccrnt200to3002014,cvroccrnt300to5002014,cvroccrnt500to7502014,cvroccrnt750to10002014,cvroccrnt1000to15002014,cvroccrnt1500p2014,cvnorent2014,cv_grent2014,cv_cashrent2014,cv_roccrntls2002014,cv_roccrnt200to3002014,cv_roccrnt300to5002014,cv_roccrnt500to7502014,cv_roccrnt750to10002014,cv_roccrnt1000to15002014,cv_roccrnt1500p2014,cv_norent2014,cvthh2014,cvhhincls10k2014,cvhhinc10to15k2014,cvhhinc15to25k2014,cvhhinc25to35k2014,cvhhinc35to50k2014,cvhhinc50to75k2014,cvhhinc75to100k2014,cvhhinc100to150k2014,cvhhinc150to200k2014,cvhhinc200kp2014,cv_medinc2014,cv_hhincls10k2014,cv_hhinc10to15k2014,cv_hhinc15to25k2014,cv_hhinc25to35k2014,cv_hhinc35to50k2014,cv_hhinc50to75k2014,cv_hhinc75to100k2014,cv_hhinc100to150k2014,cv_hhinc150to200k2014,cv_hhinc200kp2014,cvtpv2014,cvbpv2014,cv_bpv2014,cvbpv1p2014,cvbpv_samehou2014,cvbpv_diffhou2014,cv_bpv_samehou2014,cv_bpv_diffhou2014,cvpop2014,cvnhw2014,cvnhb2014,cvnhapi2014,cvnho2014,cvhisp2014,cv_nhw2014,cv_nhb2014,cv_nhapi2014,cv_nho2014,cv_hisp2014,cvclf2014,cvemp2014,cvunemp2014,cv_emp2014,cv_unemp2014,cvpop16p2014,cvlf2014,cv_lf2014,cvpop25p2014,cvhsls92014,cvhs9to122014,cvhsgrad2014,cvsomecoll2014,cvassoc2014,cvbs2014,cvprof2014,cv_hsls92014,cv_hs9to122014,cv_hsgrad2014,cv_somecoll2014,cv_assoc2014,cv_bs2014,cv_prof2014,pctchg_mdinc,popls52000,pop5to92000,pop10to142000,pop15to192000,pop20to242000,pop25to342000,pop35to442000,pop45to542000,pop55to592000,pop60to642000,pop65to742000,pop75to842000,pop85p2000,popls52014,pop5to92014,pop10to142014,pop15to192014,pop20to242014,pop25to342014,pop35to442014,pop45to542014,pop55to592014,pop60to642014,pop65to742014,pop75to842014,pop85p2014,mpopls52014,mpop5to92014,mpop10to142014,mpop15to192014,mpop20to242014,mpop25to342014,mpop35to442014,mpop45to542014,mpop55to592014,mpop60to642014,mpop65to742014,mpop75to842014,mpop85p2014,_popls52000,_pop5to92000,_pop10to142000,_pop15to192000,_pop20to242000,_pop25to342000,_pop35to442000,_pop45to542000,_pop55to592000,_pop60to642000,_pop65to742000,_pop75to842000,_pop85p2000,_popls52014,_pop5to92014,_pop10to142014,_pop15to192014,_pop20to242014,_pop25to342014,_pop35to442014,_pop45to542014,_pop55to592014,_pop60to642014,_pop65to742014,_pop75to842014,_pop85p2014,m_popls52014,m_pop5to92014,m_pop10to142014,m_pop15to192014,m_pop20to242014,m_pop25to342014,m_pop35to442014,m_pop45to542014,m_pop55to592014,m_pop60to642014,m_pop65to742014,m_pop75to842014,m_pop85p2014,pctchgrt_popls5,pctchgrt_pop5to9,pctchgrt_pop10to14,pctchgrt_pop15to19,pctchgrt_pop20to24,pctchgrt_pop25to34,pctchgrt_pop35to44,pctchgrt_pop45to54,pctchgrt_pop55to59,pctchgrt_pop60to64,pctchgrt_pop65to74,pctchgrt_pop75to84,pctchgrt_pop85p,cvpopls52014,cvpop5to92014,cvpop10to142014,cvpop15to192014,cvpop20to242014,cvpop25to342014,cvpop35to442014,cvpop45to542014,cvpop55to592014,cvpop60to642014,cvpop65to742014,cvpop75to842014,cvpop85p2014,cv_popls52014,cv_pop5to92014,cv_pop10to142014,cv_pop15to192014,cv_pop20to242014,cv_pop25to342014,cv_pop35to442014,cv_pop45to542014,cv_pop55to592014,cv_pop60to642014,cv_pop65to742014,cv_pop75to842014,cv_pop85p2014
Bellaire Puritas Community Dev. Corp.,2816.0089251,2669.9517411,52.26557034,29.69782461,1068.8269668,1229.6154808,255.5644782,33.98142038,0,146.05718402,522,94.81,1.96,1.11,40.03,46.05,9.57,1.27,0,5.19,3853.8328111,3693.8488486,36.33981148,103.78103684,436.39711464,1162.7882932,1125.7343269,810.80815283,18.00011275,159.98396244,772,505.88338577,501.12972372,157.64199948,155.70806016,240.52442703,376.1887824,320.61347445,270.62520208,109.30690738,131.3887362,,95.85,0.98,2.81,11.81,31.48,30.48,21.95,0.49,4.15,3.2842451013,4.2656019712,4.1980655797,6.3111440576,9.2455125083,7.6316449699,6.6938687589,2.9584216978,3.3654687243,1.1,47.89,10716.915654,827.41627616,668.37715063,1586.6745795,1901.7128959,2277.8535983,2324.7096843,722.84245351,262.043153,40.7419132,104.54394918,37325,7.72,6.24,14.81,17.74,21.25,21.69,6.74,2.45,0.38,0.98,10220.621656,1088.486345,698.6108522,1646.4243776,1572.3073437,1735.7153099,2173.7763098,707.16240625,469.11964009,91.53560985,37.48346198,35823,581.71642576,284.09505452,251.48956241,348.42646283,330.39824455,344.12788321,352.69108296,218.3277353,191.88538246,111.63780722,101.53324579,10.65,6.84,16.11,15.38,16.98,21.27,6.92,4.59,0.9,0.37,2.7127298906,2.429659922,3.2834480706,3.1118282491,3.2252742221,3.2314889749,2.0995368939,1.859169246,1.0910899569,0.9931962385,25610.150751,2495.5437335,9.74,24273.317963,6121.3910847,25.22,1834.4350629,1268.8108606,4.8673495115,158.93,5710.8682142,3998.4447892,1712.423425,1194.9171519,1001.842303,740.16079334,70.01,29.99,9.6507924806,11.340773442,25829.597989,24477.340642,1840.1855885,-5.24,20466.849841,2211.265772,555.89243935,655.00945592,1940.5804807,79.24,8.56,2.15,2.54,7.51,14860.471675,3984.2196338,725.72142178,1171.1263786,3735.8015327,1288.0147515,1001.8183468,539.54981234,450.45643519,934.21731947,60.71,16.28,2.96,4.78,15.26,2.6186547163,3.9056223598,2.1929842439,1.8048050092,3.6401054969,-23.38,90.19,37.67,88.19,103.2,13470.964019,768.85984327,5.71,12533.119396,1609.1871476,12.84,1086.4248708,375.45172792,2.7812498755,124.87,20154.379123,13489.963437,66.93,19350.543162,12561.262954,64.91,1323.6464785,1087.5385051,3.4452482182,-3.02,17651.067375,1011.2191612,3242.2313147,7041.833441,3510.339927,991.62589726,1371.1529092,482.66472514,5.73,18.37,39.89,19.89,5.62,7.77,2.73,16590.737844,1006.921883,2586.0067055,6626.0277011,3644.1642314,931.05250674,1133.4208067,663.14400928,1074.3244389,331.28688474,475.21679263,636.01572308,522.89769554,266.13906139,293.17912613,255.60125195,6.07,15.59,39.94,21.97,5.61,6.83,4,1.9577612296,2.6806251524,2.8298219359,2.8125534126,1.5624395586,1.7108570928,1.5187287173,5.93,-15.13,0.13,10.46,-0.18,-12.1,46.52,13757.594913,11195.775198,14053.466643,13973.263228,13962.598662,1.49,12702.104176,94.29,10923.932248,1015.8361088,87.16,2.9342226116,-7.56,,7.98,8.25,263.71,91.21,33.51,19.67,17.31,20.29,369.15,49.92,,2.08,264.6,90.82,32.49,17.85,15.22,18.54,367.03,49.3,3.46,15.87,21.88,12.86,12.77,12.05,9.86,18.77,24.87,74.14,164.67,,15.48,21.59,12.39,12.3,11.55,9.24,18.44,24.62,73.7,163.18,4.59,12.6,11.73,12.72,15.23,26.28,8.38,22.99,4.57,5.27,15.29,45.2,23.38,15.2,2.62,14.58,45.04,22.95,14.5,5.27,5.65,14.18,2.05,13.17,4.16,5.26,3.23,3.94,20,11.17,5.84,8.72,17.38,15.72,23.43,19.61,10.45,4.31,7.78,16.93,15.23,23.08,-4.02,1925.6477712,1872.618804,1606.9817868,1394.4755009,1421.9267544,4344.0074968,4724.6630715,3231.7969156,1054.3543865,921.50541673,1726.9799124,1241.1782706,363.46190194,1833.8235811,1629.2093334,1424.894482,1307.0869902,1691.588411,3322.3384385,3644.172377,3946.7447479,1565.659039,1261.2713493,1409.0646304,974.09007187,467.39718961,431.85877321,350.55242119,358.88159607,371.4660146,409.4520729,527.11289113,524.58269129,519.8374746,310.9292524,276.44167558,308.76528302,242.6231646,166.9790406,7.46,7.25,6.22,5.4,5.51,16.82,18.29,12.51,4.08,3.57,6.69,4.81,1.41,7.49,6.66,5.82,5.34,6.91,13.57,14.89,16.12,6.4,5.15,5.76,3.98,1.91,1.6720024162,1.3418882267,1.3993400992,1.4635289323,1.5900504018,1.8963643368,1.8276439862,1.7438172113,1.1757367074,1.0608619455,1.1848703225,0.9449864383,0.6669023468,0.4,-8.14,-6.43,-1.11,25.41,-19.32,-18.59,28.86,56.86,44.26,-13.9,-17.26,35.46,14.32,16.11,15.31,17.28,14.71,9.64,8.75,8.01,12.07,13.32,13.32,15.14,21.72,13.57,15.26,14.62,16.66,13.99,8.5,7.46,6.58,11.17,12.52,12.5,14.43,21.23
Buckeye Area Dev Corp.,9076.2678636,8868.5573035,663.63340665,428.65961513,3153.9521568,3945.9317442,530.7943411,131.17056875,14.41547077,207.71056014,507,97.71,7.48,4.83,35.56,44.49,5.99,1.48,0.16,2.29,7707.3023027,7394.4658473,374.39792108,415.7246362,909.53039954,3287.1355969,1805.360874,513.91548876,88.40093087,312.83645547,655,526.8443793,519.99903846,195.91835034,173.98275777,248.66845397,424.37719072,333.51911489,192.56427498,115.65033506,134.56225325,,95.94,5.06,5.62,12.3,44.45,24.42,6.95,1.2,4.06,1.5842550125,2.625493047,2.3194231593,3.2497541876,4.812984475,4.1708210402,2.5578933633,1.5617508435,1.7237185505,-1.81,29.19,13740.747243,3363.2167166,1569.7271776,2581.1285709,2083.7045608,1850.1111675,1395.0610666,456.41382387,266.10604876,63.41865013,111.85946045,22690,24.48,11.42,18.78,15.16,13.46,10.15,3.32,1.94,0.46,0.81,11190.349189,2793.4328348,1476.535981,2098.2183173,1473.2083238,1170.0714143,1189.3356286,491.65879093,275.72525726,85.98491862,136.17772294,20772,566.20667605,380.96981508,272.73613622,340.35716534,290.55808369,270.54759286,270.63998226,155.3833968,168.89937833,99.729634513,108.23585358,24.96,13.19,18.75,13.16,10.46,10.63,4.39,2.46,0.77,1.22,3.1614779991,2.3440217309,2.8897746874,2.5096072553,2.3590911657,2.3579676714,1.370637145,1.5041730146,0.8903626733,0.9652631155,31669.115472,10315.226311,32.57,22593.736802,8888.9116782,39.34,1489.0537264,1110.2977078,4.1744653578,20.79,8736.0201256,6618.5219821,2117.4981434,1038.4546211,927.95204617,593.40037074,75.76,24.24,5.6325609833,6.1512054845,32121.181218,22734.09823,1507.4329172,-29.22,2794.6592855,28135.716631,352.7584669,547.31464311,290.73219187,8.7,87.59,1.1,1.7,0.91,1998.6703313,19481.526849,444.5923672,302.12698385,507.18169844,524.17649699,1455.1982683,243.97950734,220.48129172,235.96609926,8.79,85.69,1.96,1.33,2.23,2.2307757745,2.9472697821,1.0653247287,0.9658148085,1.0273438356,1.03,-2.17,78.18,-21.76,145.05,13248.237739,1777.8022404,13.42,9719.6687479,2300.0721635,23.66,829.96204733,405.10245618,3.6452636517,76.3,23522.344419,13248.247776,56.32,18064.440228,9719.6687479,53.81,1120.8684133,829.96204733,3.1564402577,-4.46,19825.492499,1022.8196709,4521.3491852,6369.0867717,4050.9240987,910.69389683,1678.1861541,1272.4327215,5.16,22.81,32.13,20.43,4.59,8.46,6.42,14765.356004,521.93601691,2443.5618372,4778.7347538,3519.7508267,780.82738555,1508.7497432,1211.7954402,909.14410299,242.34479569,424.12616048,513.70127506,449.41295041,217.17043998,301.67034989,327.97560885,3.53,16.55,32.36,23.84,5.29,10.22,8.21,1.6268115472,2.6856257469,2.8518384219,2.6664142665,1.4343156056,1.9438096185,2.1630067885,-31.59,-27.44,0.72,16.69,15.25,20.8,27.88,3990.8478189,3996.0532962,4046.2071105,3959.3506644,4426.8590254,10.93,11470.435498,86.58,7419.5965844,717.26842953,76.34,3.4596779412,-11.83,,4.16,4.27,31.81,25.44,16.62,7.85,11.23,22.78,79.53,26.15,,1,31.54,25.09,16.06,6.58,10.38,22.37,79.12,25.81,3.08,8.29,11.23,9.86,11.99,14.06,13.83,19.21,37.24,70.51,48.32,,7.7,10.8,9.37,11.59,13.71,13.48,18.98,37.17,70.29,48.1,4.01,7.59,6.45,7.23,8.52,17.04,4.52,15.43,4.03,15.94,4.54,33.36,44.36,28.28,15.43,2.09,33.04,44.14,28.01,5.19,5.88,10.71,2.75,9.37,3.77,5.19,3.57,3.74,28.23,10.55,6.53,7.76,16.91,12.15,16.45,28.02,9.86,5.36,6.8,16.48,11.56,16.02,-8.45,2680.9218526,2981.5959793,2517.2359194,2121.9123989,2058.5172494,4830.2607684,4710.4711011,3832.8151237,1289.5012693,1136.3919041,2074.8268832,1354.0315935,532.69917511,1645.0310759,1427.8188817,1428.7467753,1334.6593137,2132.4861797,2845.4981919,2081.9629374,3157.2336769,1713.5498493,1460.7784409,1962.049629,1025.4044958,518.87878251,380.16575332,314.49006344,337.35737727,304.64405459,417.56077402,456.91793574,388.87530135,419.40553168,332.10540495,279.07525867,324.76145091,243.63497286,198.4111892,8.35,9.28,7.84,6.61,6.41,15.04,14.66,11.93,4.01,3.54,6.46,4.22,1.66,7.24,6.28,6.28,5.87,9.38,12.52,9.16,13.89,7.54,6.43,8.63,4.51,2.28,1.6019173774,1.3191690626,1.4242150259,1.2822447546,1.7282012214,1.8304797651,1.5991268685,1.598572074,1.3726723417,1.1512539899,1.3088900277,1.0290947799,0.8595256309,-13.29,-32.33,-19.9,-11.2,46.33,-16.76,-37.52,16.43,88.03,81.64,33.59,6.87,37.35,14.05,16.19,14.35,13.88,11.9,9.76,11.35,8.08,11.78,11.61,10.06,14.44,23.25,13.45,15.51,13.79,13.28,11.2,8.89,10.61,7,11.07,10.88,9.22,13.87,22.92
Burton Bell Carr Dev. Corp.,6370.8977139,6132.493078,3027.9897904,861.85581224,1463.8738385,667.69498861,76.41036017,34.49823837,0.17004975,238.40463585,204,96.26,49.38,14.05,23.87,10.89,1.25,0.56,0,3.74,5796.5898798,5297.717859,1675.1103833,920.91543093,990.78251297,1021.227036,404.94528434,247.38296134,37.35425019,498.87202073,318,418.38140494,421.63609902,285.49956217,229.32073609,239.47024867,287.17590428,254.85486066,194.61243537,142.41839769,154.58331087,,91.39,31.62,17.38,18.7,19.28,7.64,4.67,0.71,8.61,3.0650931699,4.7654468641,4.1016225305,4.2681565621,5.1991083827,4.7720325146,3.6546666018,2.6877113521,2.5934428789,-5.06,55.88,7623.8525116,3994.8692544,951.51935182,1121.7839921,574.59648702,418.72993269,343.01555373,134.68669681,63.72984403,0.09627451,20.82512443,9542,52.4,12.48,14.71,7.54,5.49,4.5,1.77,0.84,0,0.27,6972.8094,3184.0258059,945.2472502,963.29900007,605.78402878,589.79383468,471.6338742,99.88044434,78.32217613,26.91236721,7.91061857,11599,442.40931274,372.37481118,206.75831301,247.11535768,223.18602107,200.99502481,213.10795386,140.34243834,113.98245479,91.493169144,80.049984385,45.66,13.56,13.82,8.69,8.46,6.76,1.43,1.12,0.39,0.11,4.4861646914,2.837722654,3.4338780038,3.1529836711,2.8321552104,3.0259905896,2.0106570915,1.633116156,1.3119135883,1.1480080165,19601.290752,11388.280298,58.1,17058.105341,10763.352247,63.1,1310.571631,1237.9083165,5.4002593225,8.61,9779.8618006,7618.6925959,2161.1692047,1090.0114678,961.68082023,688.72926466,77.9,22.1,4.6159577694,6.5975901797,20407.627604,17206.164716,1341.5565586,-15.69,880.55232042,18859.669443,144.79356376,301.02188808,221.59038864,4.31,92.41,0.71,1.48,1.09,878.97195229,15701.786758,45.13273989,337.02832129,243.24494397,553.18712928,1227.45061,262.67280027,298.71725762,213.77558326,5.11,91.26,0.26,1.96,1.41,3.1902839866,0.5139548782,1.5264832808,1.7293754426,1.2375368233,18.56,-1.24,-63.38,32.43,29.36,6400.0209059,1887.4412321,29.49,6253.0729443,2172.0244986,34.74,695.96479796,418.45907805,5.4623645546,17.8,12986.073781,6400.8652047,49.29,11097.809836,6259.099385,56.4,956.60754753,696.80556829,3.9734920851,14.42,9651.5218932,856.63619115,3303.3937885,3059.4127303,1726.7487399,297.31105343,267.82828614,140.19110373,8.88,34.23,31.7,17.89,3.08,2.77,1.45,8597.4273417,337.69125228,1996.805254,3025.0149068,2252.2862714,444.5818746,329.59940156,211.44838102,836.24697309,219.39462163,395.44152539,413.74871601,404.05073939,181.94779471,220.92306353,277.30668943,3.93,23.23,35.19,26.2,5.17,3.83,2.46,2.5231027959,4.0065227995,3.3833956077,3.9489173479,2.0556653753,2.5424414623,3.2165778487,-55.74,-32.14,11.01,46.45,67.86,38.27,69.66,17613.541953,17271.7287,17756.696472,16315.53432,16662.282966,-5.4,4512.5796738,70.51,4081.0484457,555.52767708,65.26,5.1148814888,-7.45,,4.39,4.84,10.36,15.14,14.69,17.09,38.26,47.82,231.77,18.84,,2.04,9.16,14.35,13.87,16.39,37.97,47.57,230.12,18.31,3.86,7.11,13.3,15.59,22.4,20.72,27.47,85.42,88.47,206.67,615.16,,5.97,12.72,15.1,22.06,20.35,27.21,85.47,88.64,204.49,634.43,4.67,6.99,5.2,6.78,7.67,19.37,3.6,18.15,4.74,38.26,4.75,353.8,53.88,53.43,37.95,0.34,356.91,53.64,53.35,6.77,8.28,11.71,4.76,9.56,5.24,6.77,4.28,5.91,39.49,12.04,8.31,10.91,24.88,40.75,79.72,39.03,10.48,5.84,9.16,24.17,40.35,79.49,21.56,2690.8038797,2600.1440961,1867.3994536,1742.9912347,1977.2558975,2499.5374566,2428.040893,1773.7345325,630.54444813,525.33504098,947.67390143,532.17867324,191.98809616,2552.0983049,1915.6386224,1424.4046507,1288.4960949,1428.0997013,2278.0206168,1576.9486815,1791.1907187,1057.5928202,603.87616875,682.33319833,408.81728789,198.64784956,414.49487331,315.4996038,290.80061898,392.75819533,364.14969449,457.18705144,368.30150692,344.95072112,273.86858162,201.42988855,215.27888889,169.56414715,123.46254493,13.19,12.74,9.15,8.54,9.69,12.25,11.9,8.69,3.09,2.57,4.64,2.61,0.94,14.83,11.13,8.28,7.49,8.3,13.24,9.17,10.41,6.15,3.51,3.97,2.38,1.15,2.1132412489,1.6151475486,1.5619842777,2.2067213491,2.0150230431,2.448394764,2.0177180931,1.8331505413,1.5178258626,1.1382530448,1.2123655412,0.9679157804,0.7118795665,12.43,-12.64,-9.51,-12.3,-14.34,8.08,-22.94,19.79,99.03,36.58,-14.44,-8.81,22.34,9.87,13.15,12.41,18.53,15.5,12.2,14.2,11.71,15.74,20.28,19.18,25.21,37.78,8.66,11.54,11.47,17.91,14.76,11.24,13.38,10.7,15,19.71,18.56,24.72,37.63
