neighbor10,rent_den2000,cashrent2000,roccrntls2002000,roccrnt200to3002000,roccrnt300to5002000,roccrnt500to7502000,roccrnt750to10002000,roccrnt1000to15002000,roccrnt1500p2000,norent2000,_grent2000,_cashrent2000,_roccrntls2002000,_roccrnt200to3002000,_roccrnt300to5002000,_roccrnt500to7502000,_roccrnt750to10002000,_roccrnt1000to15002000,_roccrnt1500p2000,_norent2000,rent_den2014,cashrent2014,roccrntls2002014,roccrnt200to3002014,roccrnt300to5002014,roccrnt500to7502014,roccrnt750to10002014,roccrnt1000to15002014,roccrnt1500p2014,norent2014,_grent2014,mrent_den2014,mcashrent2014,mroccrntls2002014,mroccrnt200to3002014,mroccrnt300to5002014,mroccrnt500to7502014,mroccrnt750to10002014,mroccrnt1000to15002014,mroccrnt1500p2014,mnorent2014,m_grent2014,_cashrent2014,_roccrntls2002014,_roccrnt200to3002014,_roccrnt300to5002014,_roccrnt500to7502014,_roccrnt750to10002014,_roccrnt1000to15002014,_roccrnt1500p2014,_norent2014,m_cashrent2014,m_roccrntls2002014,m_roccrnt200to3002014,m_roccrnt300to5002014,m_roccrnt500to7502014,m_roccrnt750to10002014,m_roccrnt1000to15002014,m_roccrnt1500p2014,m_norent2014,pctchgrt_rhh,pctchg_mdrent,hhinc_den2000,hhincls10k2000,hhinc10to15k2000,hhinc15to25k2000,hhinc25to35k2000,hhinc35to50k2000,hhinc50to75k2000,hhinc75to100k2000,hhinc100to150k2000,hhinc150to200k2000,hhinc200kp2000,_medinc2000,_hhincls10k2000,_hhinc10to15k2000,_hhinc15to25k2000,_hhinc25to35k2000,_hhinc35to50k2000,_hhinc50to75k2000,_hhinc75to100k2000,_hhinc100to150k2000,_hhinc150to200k2000,_hhinc200kp2000,thh2014,hhincls10k2014,hhinc10to15k2014,hhinc15to25k2014,hhinc25to35k2014,hhinc35to50k2014,hhinc50to75k2014,hhinc75to100k2014,hhinc100to150k2014,hhinc150to200k2014,hhinc200kp2014,_medinc2014,mthh2014,mhhincls10k2014,mhhinc10to15k2014,mhhinc15to25k2014,mhhinc25to35k2014,mhhinc35to50k2014,mhhinc50to75k2014,mhhinc75to100k2014,mhhinc100to150k2014,mhhinc150to200k2014,mhhinc200kp2014,_hhincls10k2014,_hhinc10to15k2014,_hhinc15to25k2014,_hhinc25to35k2014,_hhinc35to50k2014,_hhinc50to75k2014,_hhinc75to100k2014,_hhinc100to150k2014,_hhinc150to200k2014,_hhinc200kp2014,m_hhincls10k2014,m_hhinc10to15k2014,m_hhinc15to25k2014,m_hhinc25to35k2014,m_hhinc35to50k2014,m_hhinc50to75k2014,m_hhinc75to100k2014,m_hhinc100to150k2014,m_hhinc150to200k2014,m_hhinc200kp2014,tpv2000,bpv2000,_bpv2000,tpv2014,bpv2014,_bpv2014,mtpv2014,mbpv2014,m_bpv2014,pctchgrt_pov,bpv1p2014,bpv_samehou2014,bpv_diffhou2014,mbpv1p2014,mbpv_samehou2014,mbpv_diffhou2014,_bpv_samehou2014,_bpv_diffhou2014,m_bpv_samehou2014,m_bpv_diffhou2014,pop2000,pop2014,mpop2014,pctchg_pop,nhw2000,nhb2000,nhapi2000,nho2000,hisp2000,_nhw2000,_nhb2000,_nhapi2000,_nho2000,_hisp2000,nhw2014,nhb2014,nhapi2014,nho2014,hisp2014,mnhw2014,mnhb2014,mnhapi2014,mnho2014,mhisp2014,_nhw2014,_nhb2014,_nhapi2014,_nho2014,_hisp2014,m_nhw2014,m_nhb2014,m_nhapi2014,m_nho2014,m_hisp2014,pctchgrt_nhw,pctchgrt_nhb,pctchgrt_nhapi,pctchgrt_nho,pctchgrt_hisp,clf2000,unemp2000,_unemp2000,clf2014,unemp2014,_unemp2014,mclf2014,munemp2014,m_unemp2014,pctchgrt_unemp,pop16p2000,lf2000,_lf2000,pop16p2014,lf2014,_lf2014,mpop16p2014,mlf2014,m_lf2014,pctchgrt_lf,pop25p2000,hsls92000,hs9to122000,hsgrad2000,somecoll2000,assoc2000,bs2000,prof2000,_hsls92000,_hs9to122000,_hsgrad2000,_somecoll2000,_assoc2000,_bs2000,_prof2000,pop25p2014,hsls92014,hs9to122014,hsgrad2014,somecoll2014,assoc2014,bs2014,prof2014,mpop25p2014,mhsls92014,mhs9to122014,mhsgrad2014,msomecoll2014,massoc2014,mbs2014,mprof2014,_hsls92014,_hs9to122014,_hsgrad2014,_somecoll2014,_assoc2014,_bs2014,_prof2014,m_hsls92014,m_hs9to122014,m_hsgrad2014,m_somecoll2014,m_assoc2014,m_bs2014,m_prof2014,pctchgrt_hsls9,pctchgrt_hs9to12,pctchgrt_hsgrad,pctchgrt_somecoll,pctchgrt_assoc,pctchgrt_bs,pctchgrt_prof,alljobs2009,alljobs2010,alljobs2011,alljobs2012,alljobs2013,pctchg_alljobs,emp2000,_emp2000,emp2014,memp2014,_emp2014,m_emp2014,pctchgrt_emp,m_medinc2014,cvrent_den2014,cvcashrent2014,cvroccrntls2002014,cvroccrnt200to3002014,cvroccrnt300to5002014,cvroccrnt500to7502014,cvroccrnt750to10002014,cvroccrnt1000to15002014,cvroccrnt1500p2014,cvnorent2014,cv_grent2014,cv_cashrent2014,cv_roccrntls2002014,cv_roccrnt200to3002014,cv_roccrnt300to5002014,cv_roccrnt500to7502014,cv_roccrnt750to10002014,cv_roccrnt1000to15002014,cv_roccrnt1500p2014,cv_norent2014,cvthh2014,cvhhincls10k2014,cvhhinc10to15k2014,cvhhinc15to25k2014,cvhhinc25to35k2014,cvhhinc35to50k2014,cvhhinc50to75k2014,cvhhinc75to100k2014,cvhhinc100to150k2014,cvhhinc150to200k2014,cvhhinc200kp2014,cv_medinc2014,cv_hhincls10k2014,cv_hhinc10to15k2014,cv_hhinc15to25k2014,cv_hhinc25to35k2014,cv_hhinc35to50k2014,cv_hhinc50to75k2014,cv_hhinc75to100k2014,cv_hhinc100to150k2014,cv_hhinc150to200k2014,cv_hhinc200kp2014,cvtpv2014,cvbpv2014,cv_bpv2014,cvbpv1p2014,cvbpv_samehou2014,cvbpv_diffhou2014,cv_bpv_samehou2014,cv_bpv_diffhou2014,cvpop2014,cvnhw2014,cvnhb2014,cvnhapi2014,cvnho2014,cvhisp2014,cv_nhw2014,cv_nhb2014,cv_nhapi2014,cv_nho2014,cv_hisp2014,cvclf2014,cvemp2014,cvunemp2014,cv_emp2014,cv_unemp2014,cvpop16p2014,cvlf2014,cv_lf2014,cvpop25p2014,cvhsls92014,cvhs9to122014,cvhsgrad2014,cvsomecoll2014,cvassoc2014,cvbs2014,cvprof2014,cv_hsls92014,cv_hs9to122014,cv_hsgrad2014,cv_somecoll2014,cv_assoc2014,cv_bs2014,cv_prof2014,pctchg_mdinc,popls52000,pop5to92000,pop10to142000,pop15to192000,pop20to242000,pop25to342000,pop35to442000,pop45to542000,pop55to592000,pop60to642000,pop65to742000,pop75to842000,pop85p2000,popls52014,pop5to92014,pop10to142014,pop15to192014,pop20to242014,pop25to342014,pop35to442014,pop45to542014,pop55to592014,pop60to642014,pop65to742014,pop75to842014,pop85p2014,mpopls52014,mpop5to92014,mpop10to142014,mpop15to192014,mpop20to242014,mpop25to342014,mpop35to442014,mpop45to542014,mpop55to592014,mpop60to642014,mpop65to742014,mpop75to842014,mpop85p2014,_popls52000,_pop5to92000,_pop10to142000,_pop15to192000,_pop20to242000,_pop25to342000,_pop35to442000,_pop45to542000,_pop55to592000,_pop60to642000,_pop65to742000,_pop75to842000,_pop85p2000,_popls52014,_pop5to92014,_pop10to142014,_pop15to192014,_pop20to242014,_pop25to342014,_pop35to442014,_pop45to542014,_pop55to592014,_pop60to642014,_pop65to742014,_pop75to842014,_pop85p2014,m_popls52014,m_pop5to92014,m_pop10to142014,m_pop15to192014,m_pop20to242014,m_pop25to342014,m_pop35to442014,m_pop45to542014,m_pop55to592014,m_pop60to642014,m_pop65to742014,m_pop75to842014,m_pop85p2014,pctchgrt_popls5,pctchgrt_pop5to9,pctchgrt_pop10to14,pctchgrt_pop15to19,pctchgrt_pop20to24,pctchgrt_pop25to34,pctchgrt_pop35to44,pctchgrt_pop45to54,pctchgrt_pop55to59,pctchgrt_pop60to64,pctchgrt_pop65to74,pctchgrt_pop75to84,pctchgrt_pop85p,cvpopls52014,cvpop5to92014,cvpop10to142014,cvpop15to192014,cvpop20to242014,cvpop25to342014,cvpop35to442014,cvpop45to542014,cvpop55to592014,cvpop60to642014,cvpop65to742014,cvpop75to842014,cvpop85p2014,cv_popls52014,cv_pop5to92014,cv_pop10to142014,cv_pop15to192014,cv_pop20to242014,cv_pop25to342014,cv_pop35to442014,cv_pop45to542014,cv_pop55to592014,cv_pop60to642014,cv_pop65to742014,cv_pop75to842014,cv_pop85p2014
Bellaire-Puritas,1607.3081115,1527.5921369,229.91778078,93.90806922,458.17987023,540.34595462,191.24046207,14,0,79.71597455,495,95.04,15.05,6.15,29.99,35.37,12.52,0.92,0,4.96,2280,2167,78,111,266,541,712,459,0,113,684,294.7660089,291.54073472,109.658561,99.799799599,133.35291523,176.89827585,194.61500456,174.84564621,64.140470843,79.981247802,,95.04,3.6,5.12,12.28,24.97,32.86,21.18,0,4.96,3.538269636,5.0371618804,4.5535847558,5.9280718991,7.4402879761,7.8176551571,7.5485774965,2.9598740583,3.4489351321,0,38.18,5968.4382765,724.36869203,356.94638156,944.32189909,954.82373994,1287.8833654,1092.6396048,337.66301746,166.06319971,22.90387734,80.82449906,35038,12.14,5.98,15.82,16,21.58,18.31,5.66,2.78,0.38,1.35,5916,781,412,1026,892,988,1104,433,223,27,30,35358,347.38451318,185.22418849,153.14372335,195.23575492,198.43890748,205.52128844,214.58564724,149.42222057,108.48041298,45,58.068924564,13.2,6.96,17.34,15.08,16.7,18.66,7.32,3.77,0.46,0.51,3.0334203275,2.5561322956,3.1390774697,3.2353209415,3.3327090981,3.4577315857,2.4888968693,1.8202706432,0.7601768543,0.9811054531,14387.077041,2048.3103107,14.24,14288,4093,28.65,1185.4357848,838.39310589,5.3649286537,101.19,3659.9601802,2699.7672155,960.19296471,800.96629143,696.89812742,501.05987666,73.76,26.24,10.097734349,12.428216347,14490.180006,14463,1189.1887991,-0.19,9785.1302218,3050.7929568,343.66591816,361.84679926,948.74411005,67.53,21.05,2.37,2.5,6.55,7580,3269,430,672,2512,821.68059488,742.56245529,245.96747752,335.66948029,591.5420526,52.41,22.6,2.97,4.65,17.37,3.7022889904,4.786065668,1.6830060115,2.2892253215,3.8326204589,-22.39,7.36,25.32,86,165.19,7058.3220241,439.43242031,6.23,7077,1124,15.88,707.21849523,279.87497209,3.6222453055,154.9,11278.351199,7067.3220241,62.66,11510,7077,61.49,863.36029559,707.21849523,4.0598978093,-1.87,9908.4601373,581.68864008,1919.6397823,4181.6190556,1920.9702831,452.87215899,595.84134269,255.82887458,5.87,19.37,42.2,19.39,4.57,6.01,2.58,9729,681,1747,3914,2104,542,432,309,666.61383124,205.07315768,310.90030556,395.53128827,295.14742079,168.77796065,169.22765731,150.346267,7,17.96,40.23,21.63,5.57,4.44,3.18,2.052566186,2.9492555587,2.988289029,2.6471846241,1.6922765662,1.7126001525,1.5299418858,19.25,-7.28,-4.67,11.55,21.88,-26.12,23.26,6767,6207,7300,7229,7190,6.25,6618.8896038,93.77,5953,641.70709829,84.12,3.3997343426,-10.29,,7.86,8.18,85.46,54.66,30.48,19.88,16.62,23.16,,43.03,,2.26,85.06,54.07,29.35,18.11,14.46,21.67,,42.27,3.57,14.42,22.6,11.57,13.52,12.65,11.82,20.98,29.57,101.32,117.67,,13.97,22.33,11,13.04,12.13,11.26,20.67,29.35,100.46,116.94,5.04,12.45,11.38,13.3,15.69,31.72,8.32,28.79,5,6.59,13.81,34.77,30.37,14.32,4.29,12.87,34.45,29.93,13.41,6.07,6.55,15.14,2.46,13.87,4.56,6.07,4.01,4.17,18.31,10.82,6.14,8.53,18.93,23.81,29.58,17.83,9.98,4.52,7.44,18.47,23.45,29.25,0.91,1048.8759581,1108.1390264,962.22725919,841.94468926,748.36444759,2257.7747529,2457.913382,1830.2685528,660.76842246,542.29556412,1078.8450399,732.06722997,220.6956814,1132,816,861,824,1101,1878,1863,2407,1056,738,923,620,244,296.43549045,216.88476203,233.66000942,227.71692954,274.97818095,343.66698998,292.72512704,315.29668568,210.75103796,168.57046005,194.3424812,148.49915825,112.93360882,7.24,7.65,6.64,5.81,5.16,15.58,16.96,12.63,4.56,3.74,7.45,5.05,1.52,7.83,5.64,5.95,5.7,7.61,12.98,12.88,16.64,7.3,5.1,6.38,4.29,1.69,1.9459597294,1.4260251214,1.5396350131,1.5031771106,1.7952664147,2.1228173734,1.7247214819,1.6970579903,1.3277597944,1.0873960869,1.2370314668,0.9643561381,0.7684250034,8.15,-26.27,-10.39,-1.89,47.48,-16.69,-24.06,31.75,60.09,36.36,-14.36,-15.05,11.18,15.92,22.08,16.5,16.8,15.18,11.12,9.55,7.96,12.13,13.89,12.8,14.56,28.14,15.11,20.97,15.73,16.03,14.34,9.94,8.14,6.2,11.06,12.96,11.79,13.67,27.64
Broadway-Slavic Village,6118.2234687,5849.512401,200.79286314,546.50923859,2770.5151867,1947.4481609,340.24695174,44,0,268.7110677,462,95.61,3.43,9.34,47.36,33.29,5.82,0.75,0,4.39,4628.9579765,4466.0659171,42,108,605.03175972,2016.384206,1238.9934173,418.65653406,37,162.89205945,683,378.18117351,374.6505038,103.68220677,95.838405663,167.05089045,289.16085489,246.6272491,133.9888055,96.322375386,77.871689336,,96.48,0.94,2.42,13.55,45.15,27.74,9.37,0.83,3.52,1.8369844976,2.3202148661,2.136314448,3.5636234792,5.2512648067,5.0079020793,2.8952581279,2.1556411197,1.6575241759,0.91,47.84,12085.661711,2328.0029979,1447.3508919,2355.2573655,1991.6586165,1795.0123809,1458.2982768,411.1940313,173.02890874,44.01492479,81.84331692,24611,19.26,11.98,19.49,16.48,14.85,12.07,3.4,1.43,0.36,0.68,8427.3277534,1868.6815695,985.27921842,1580.9231728,1254.2384099,1132.3887512,845.87590391,379.77586889,247,54,79.16485882,23550,432.49971098,252.46980017,188.13027401,242.59431156,214.60894669,218.51773383,170.32028652,117.34564329,118.98739429,74.866547937,71.45628034,22.17,11.69,18.76,14.88,13.44,10.04,4.51,2.93,0.64,0.94,2.7712916529,2.1502354896,2.7128942749,2.4293373902,2.499582848,1.9542974797,1.3731005697,1.4038878759,0.8877693989,0.8465398257,30770.983732,8448.5592209,27.46,21297.121709,9852.394486,46.26,1465.5101501,1206.5463108,4.6863340101,68.46,9623.2519767,6983.8023434,2639.4496332,1078.8628272,938.42740795,625.85142007,72.57,27.43,5.3758186378,5.7306827942,30824.037883,21429.121709,1487.2662842,-30.48,20654.315256,7922.6415646,88.36856931,781.3928659,1377.3196271,67.01,25.7,0.29,2.54,4.47,8793.8183836,10854.134933,19,487.43534118,1274.7330511,865.21211272,1250.0559987,60.497933849,251.31454395,352.31661897,41.04,50.65,0.09,2.27,5.95,2.8618307727,4.6552138216,0.2822493677,1.1620969789,1.5914210054,-38.76,97.08,-68.97,-10.63,33.11,13086.376442,1586.9032042,12.13,9470.2036573,2551.9941727,26.95,750.88347964,379.43774193,3.3893881592,122.18,22231.630945,13099.376442,58.92,15830.477764,9470.2036573,59.82,957.8032157,750.88347964,3.0656095402,1.53,18701.095263,1550.1099567,5408.9044614,6952.7552336,3111.3728641,640.77134728,660.41766333,376.76373619,8.29,28.92,37.18,16.64,3.43,3.53,2.01,13097.960099,979.36636939,2834.5441947,4658.6086515,2644.1799358,798.08838973,820.3168336,362.85572431,760.50969751,225.89599377,348.77069831,420.3153578,330.61155455,190.5229645,169.98823489,167.79153733,7.48,21.64,35.57,20.19,6.09,6.26,2.77,1.6691262042,2.3476598932,2.4561932261,2.2354733486,1.4109191902,1.2458346292,1.2709120681,-9.77,-25.17,-4.33,21.33,77.55,77.34,37.81,6795.9446688,6625.0745778,6266.4098245,6846.5863879,6408.8054971,-5.7,11499.473238,87.87,6918.2094846,584.47241167,73.05,2.1306458668,-16.87,,4.97,5.1,150.07,53.94,16.78,8.72,12.1,19.46,158.26,29.06,,1.16,150.05,53.66,15.99,7.07,10.97,18.78,157.88,28.63,3.12,8.21,11.61,9.33,10.4,11.73,12.24,18.78,29.28,84.28,54.87,,7.6,11.18,8.79,9.92,11.31,11.83,18.51,29.13,84.32,54.75,4.18,7.44,6.16,6.82,8.17,14.41,4.5,12.7,4.22,5.98,7,193.56,31.34,16.8,4.24,5.59,190.64,31.12,16.26,4.82,5.14,9.04,1.77,7.65,3.68,4.82,3.12,3.53,14.02,7.48,5.48,7.6,14.51,12.6,28.11,13.57,6.59,4.2,6.73,14.08,12.1,27.89,-4.31,2721.4502289,2989.4233953,2579.7925038,2035.4670797,2015.5952813,4735.3745358,4928.4933337,3383.8180924,1195.131247,979.24357494,1611.1146424,1316.3215591,332.8124088,1653.2478618,1793.8472636,1741.8203391,1652.9557593,1489.2903862,2911.1729526,2545.5894265,3090.4955307,1516.6096519,1202.4153175,1192.8125206,474.30602353,164.5586756,324.98769207,334.73721036,315.22055771,284.78764018,282.32605264,374.39551279,333.65251385,328.25599766,218.99315058,200.7087442,198,151.10923201,92.951600309,8.83,9.7,8.37,6.6,6.54,15.36,15.99,10.98,3.88,3.18,5.23,4.27,1.08,7.71,8.37,8.13,7.71,6.95,13.59,11.88,14.42,7.08,5.61,5.57,2.21,0.77,1.4189009823,1.450002932,1.3585165571,1.2163757853,1.2260161311,1.4708805846,1.3208082443,1.1595677703,0.8961543654,0.8518166867,0.8393363941,0.68822244,0.4304762391,-12.68,-13.71,-2.87,16.82,6.27,-11.52,-25.7,31.33,82.47,76.42,6.5,-48.24,-28.7,11.95,11.01,11,10.47,11.52,7.82,7.97,6.46,8.78,10.15,10.09,19.37,34.34,11.19,10.31,10.16,9.59,10.72,6.58,6.76,4.89,7.69,9.23,9.16,18.93,33.99
Brooklyn Centre,1958.1696697,1878.219369,49,94.21391841,963.00378581,649.77537528,111.22628953,11,0,79.95030067,467,95.92,2.61,5.02,51.27,34.6,5.92,0.59,0,4.08,2009.9230775,1827.8003988,0.49691912,74.29394813,229.98152946,868.93599904,386.91779768,267.17420535,0,182.12267874,666,270.38121237,262.1964912,77.730302971,86.046499057,124.21352583,221.15831434,157.06368135,122.87798826,64.140470843,97.272812234,,90.94,0.03,4.06,12.58,47.54,21.17,14.62,0,9.06,4.529802452,4.2526673229,4.6714047396,6.5517170969,9.9948040795,8.0386215009,6.3873560913,3.5091616615,4.6836091698,-5.19,42.61,3743.8390647,678.80428908,345.81353861,751.078342,527.99078389,643.43684241,535.72439551,166.78605393,71.92678406,11,11.27803522,26649,18.13,9.24,20.06,14.1,17.19,14.31,4.45,1.92,0.29,0.3,3375.2867256,618.81943612,348.67010516,737.56897759,481.97164501,414.20895589,479.62091945,147.58378682,126.50020692,1.34269262,19,24797,286.85536425,183.58104477,120.43255374,175.78680269,144.72042012,142.7585374,143.17821063,73.054773971,79.328431221,44.55333882,47.539457296,18.33,10.33,21.85,14.28,12.27,14.21,4.37,3.75,0.04,0.56,5.2110145731,3.4583763104,4.8656837107,4.1123212953,4.0989186674,4.0664221882,2.1322632626,2.3285890583,1.3199824581,1.4076441336,9963.8897207,2265.3529189,22.74,9117.9480677,3730.5862836,40.91,942.8684956,762.40999469,7.2122401563,79.9,3698.3781477,2376.9392781,1321.4388696,856.10162948,666.96626601,614.43063075,64.27,35.73,10.192901241,14.408402353,10176.211044,9223.6896086,963.50298391,-9.36,5950.2962389,1109.739535,67.77147355,338.97221721,2709.4315794,58.47,10.91,0.67,3.33,26.63,4143.4160185,1681.2138986,115.88193313,366.40900199,2916.7687564,646.21590819,505.29991094,134.70708964,222.06080248,628.50855205,44.92,18.23,1.26,3.97,31.62,5.2024346643,5.1367678486,1.4545383357,2.3714734649,5.9598538935,-23.17,67.09,88.06,19.22,18.74,4405.5436423,447.61267213,10.16,4538.8103691,793.58717701,17.48,539.47011039,207.39575695,4.0694665693,72.05,7197.2008319,4411.5436423,61.3,6971.4580928,4538.8103691,65.11,683.8859554,539.47011039,4.3692660312,6.22,5993.3716371,520.41845509,1613.4103858,1989.8951351,1093.9452614,310.7936972,336.79915781,128.10954472,8.68,26.92,33.2,18.25,5.19,5.62,2.14,5516.2757746,549.82432272,1064.423833,1975.3970901,1112.0617806,337.59102363,307.97829257,168.9994319,541.41296623,198.49181343,231.62037907,298.20295102,221.95269766,115.77564511,134.40982107,128.15615475,9.97,19.3,35.81,20.16,6.12,5.58,3.06,3.4627587479,3.7474810899,4.1073350649,3.5034748629,2.0110133232,2.3741882991,2.3036957302,14.86,-28.31,7.86,10.47,17.92,-0.71,42.99,6343.2440434,5547.2465396,5750.293226,5451.1223506,5597.7755818,-11.75,3957.9309702,89.84,3745.2231921,473.13317364,82.52,3.5319975586,-8.15,,8.18,8.72,9509.09,70.41,32.83,15.47,24.68,27.96,,32.47,,3.03,8617.36,69.94,31.66,12.78,23.08,26.56,,31.43,5.17,18.03,21,14.49,18.25,20.95,18.15,30.09,38.12,2017.15,152.1,,17.28,20.35,13.54,17.51,20.31,17.4,29.66,37.75,2006.05,152.81,6.29,12.42,10.72,14.07,17.06,28.27,9.64,24.51,6.35,9.48,18.27,70.67,36.84,13.1,7.04,17.13,70.18,36.31,11.46,7.23,7.68,15.89,2.6,14.15,5.96,7.23,4.08,5.97,21.95,13.23,9.18,12.13,20.85,26.53,46.1,21.11,11.8,6.97,10.56,19.98,25.87,45.77,-6.95,891.31780589,913.49793918,932.07590395,804.23323096,668.30402717,1621.4099076,1682.6876763,1200.1499568,385.44223725,338.87094205,433.13264687,244.22024361,60.8685264,559.69230028,777.50625886,809.05295879,718.95330215,842.20901401,1453.3201312,911.27566044,1538.0625011,427.11287916,439.80826113,410.37530675,230.39522475,105.92581004,212.24278551,239.13803545,202.18555834,190.87954317,223.28233249,280.7525601,221.66641604,266.83140745,133.21786667,124.95199078,138.43409985,103.46496992,86.209048249,8.76,8.98,9.16,7.9,6.57,15.93,16.54,11.79,3.79,3.33,4.26,2.4,0.6,6.07,8.43,8.77,7.79,9.13,15.76,9.88,16.68,4.63,4.77,4.45,2.5,1.15,2.2120368105,2.4385428615,1.9913394061,1.9025394976,2.2249186118,2.5604369617,2.170350143,2.3096942643,1.36089287,1.2597936918,1.4270824065,1.0909618378,0.9269176036,-30.71,-6.12,-4.26,-1.39,38.96,-1.07,-40.27,41.48,22.16,43.24,4.46,4.17,91.67,23.05,16.59,15.19,16.14,16.12,11.74,14.79,10.55,18.96,17.27,20.51,27.3,49.47,22.15,15.95,13.8,14.85,14.81,9.88,13.35,8.42,17.87,16.06,19.49,26.53,49
Buckeye-Shaker Square,5074,4931,194,149,1632,2617,280,59,0,143,530,97.18,3.93,3.02,33.1,53.07,5.68,1.2,0,2.82,4301,4199,91,260,404,1862,1152,361,69,102,684,320.73041639,320.30922559,97.025769773,112.33877336,131.2173769,265.14524322,219.88860816,118.17360111,71.630998876,65.802735505,,97.63,2.17,6.19,9.62,44.34,27.44,8.6,1.64,2.37,1.5685427408,2.3047661476,2.6333442032,3.0375576381,5.3320154584,4.8003187036,2.736848096,1.7012944964,1.519684885,0.46,29.06,7603,1685,730,1342,1169,1121,943,289,165,54,105,25337,22.16,9.6,17.65,15.38,14.74,12.4,3.8,2.17,0.71,1.38,6289,1370,701,1144,755,755,817,356,194,64,133,24130,328.54984401,219.67931173,151.55856954,210.17611663,169.03254125,171.9098601,183.60555547,104.51315707,99.368002898,54.76312628,64.420493634,21.78,11.15,18.19,12.01,12.01,12.99,5.66,3.08,1.02,2.11,3.3024857024,2.3384881899,3.2040036421,2.6135518927,2.6605797135,2.8394923957,1.6353167835,1.5717888318,0.8691519319,1.018360523,15817,4236,26.78,11847,3859,32.57,827.35784277,560.89838652,4.1521987034,21.62,3714,2657,1057,491.63807826,402.97642611,293.76861643,71.54,28.46,5.2957134152,6.9549539767,16063,11853,826.5978466,-26.21,2420,12783,336,320,204,15.07,79.58,2.09,1.99,1.27,1669,9238,432,211,303,354.94084014,788.8776838,143.763695,141.79562758,149.17439459,14.08,77.94,3.64,1.78,2.56,2.8289437874,3.8411464603,1.1859584316,1.1898259489,1.2458470892,-6.57,-2.06,74.16,-10.55,101.57,7468,794,10.63,5438,872,16.04,471.95974405,184.6266503,3.0967785078,50.89,12419,7468,60.13,9767,5438,55.68,622.89405199,471.95974405,3.277434327,-7.4,10700,404,1784,3413,2290,459,1296,1054,3.78,16.67,31.9,21.4,4.29,12.11,9.85,8188,276,848,2402,1953,439,1221,1049,509.72247351,136.05146085,201.56388565,304.60630328,285.82162269,118.29201156,206.5236064,183.11471814,3.37,10.36,29.34,23.85,5.36,14.91,12.81,1.6482924086,2.3757716582,3.2410654405,3.1591920581,1.4056163089,2.3452275104,2.0893343396,-10.85,-37.85,-8.03,11.45,24.94,23.12,30.05,2866,2848,2915,2374,2839,-0.94,6674,89.37,4566,437.46885603,83.96,3.4077721082,-6.05,,4.53,4.64,64.82,26.27,19.74,8.66,11.6,19.9,63.11,39.22,,0.98,64.57,25.86,19.19,7.31,10.63,19.35,63.06,38.98,3.18,9.75,13.14,11.17,13.61,13.84,13.66,17.85,31.14,52.02,29.44,,9.22,12.75,10.71,13.23,13.47,13.29,17.56,31.02,51.8,29.34,4.25,8.84,7.75,8.05,9.22,16.9,4.5,14.86,4.24,12.93,5.19,20.23,40.85,29.93,12.21,3,19.81,40.63,29.58,5.28,5.82,12.87,2.47,11.74,3.88,5.28,3.58,3.78,29.97,14.45,7.71,8.9,16.38,10.28,10.61,29.73,13.94,6.72,8.05,15.94,9.56,9.92,-4.76,1141,1239,1091,893,1036,2685,2510,2097,657,549,1110,755,300,746,599,658,657,1005,1668,1122,1862,793,772,1093,619,259,210.44951889,157.25139109,165.39347025,169.5995283,239.94999479,274.13317931,221.44299492,261.35990511,191.66115934,162.14499684,189.35944656,144.63747785,88.130584929,7.1,7.71,6.79,5.56,6.45,16.72,15.63,13.05,4.09,3.42,6.91,4.7,1.87,6.29,5.05,5.55,5.54,8.48,14.07,9.47,15.71,6.69,6.51,9.22,5.22,2.19,1.7203902073,1.2790144374,1.3405929094,1.3776551844,1.9361026044,2.0942385746,1.7477307868,1.9136153841,1.5482108638,1.2903586927,1.4624217758,1.1646463603,0.7277471094,-11.41,-34.5,-18.26,-0.36,31.47,-15.85,-39.41,20.38,63.57,90.35,33.43,11.06,17.11,17.15,21.36,15.28,15.69,14.51,9.99,12,8.53,14.69,12.77,10.53,14.2,20.69,16.63,20.71,14.68,15.12,13.88,9.05,11.22,7.4,14.07,12.05,9.64,13.56,20.2
