neighbor10,v2010,v2011,v2012,v2013,v2014,h2010,h2011,h2012,h2013,h2014,r2010,r2011,r2012,r2013,r2014,ro2010,ro2011,ro2012,ro2013,ro2014,ag2010,ag2011,ag2012,ag2013,ag2014,a2010,a2011,a2012,a2013,a2014,dv2010,dv2011,dv2012,dv2013,dv2014,p2010,p2011,p2012,p2013,p2014,b2010,b2011,b2012,b2013,b2014,l2010,l2011,l2012,l2013,l2014,mv2010,mv2011,mv2012,mv2013,mv2014,ar2010,ar2011,ar2012,ar2013,ar2014,d2010,d2011,d2012,d2013,d2014,dp2010,dp2011,dp2012,dp2013,dp2014,dt2010,dt2011,dt2012,dt2013,dt2014,od2010,od2011,od2012,od2013,od2014,lq2010,lq2011,lq2012,lq2013,lq2014,Ia2010,Ia2011,Ia2012,Ia2013,Ia2014,II2010,II2011,II2012,II2013,II2014,_v2010,_v2011,_v2012,_v2013,_v2014,_h2010,_h2011,_h2012,_h2013,_h2014,_r2010,_r2011,_r2012,_r2013,_r2014,_ro2010,_ro2011,_ro2012,_ro2013,_ro2014,_ag2010,_ag2011,_ag2012,_ag2013,_ag2014,_a2010,_a2011,_a2012,_a2013,_a2014,_dv2010,_dv2011,_dv2012,_dv2013,_dv2014,_p2010,_p2011,_p2012,_p2013,_p2014,_b2010,_b2011,_b2012,_b2013,_b2014,_l2010,_l2011,_l2012,_l2013,_l2014,_mv2010,_mv2011,_mv2012,_mv2013,_mv2014,_ar2010,_ar2011,_ar2012,_ar2013,_ar2014,_d2010,_d2011,_d2012,_d2013,_d2014,_dp2010,_dp2011,_dp2012,_dp2013,_dp2014,_dt2010,_dt2011,_dt2012,_dt2013,_dt2014,_od2010,_od2011,_od2012,_od2013,_od2014,_lq2010,_lq2011,_lq2012,_lq2013,_lq2014,_Ia2010,_Ia2011,_Ia2012,_Ia2013,_Ia2014,_II2010,_II2011,_II2012,_II2013,_II2014,pctchgrt_v,pctchgrt_h,pctchgrt_r,pctchgrt_ro,pctchgrt_ag,pctchgrt_a,pctchgrt_dv,pctchgrt_p,pctchgrt_b,pctchgrt_l,pctchgrt_mv,pctchgrt_ar,pctchgrt_d,pctchgrt_dp,pctchgrt_dt,pctchgrt_od,pctchgrt_lq,pctchgrt_Ia,pctchgrt_II
Detroit Shoreway,235,215,259,248,208,1,2,4,1,1,23,18,22,20,18,140,138,174,159,120,71,57,59,68,69,311,273,339,273,286,192,170,169,198,203,695,770,787,701,662,291,353,350,285,220,284,299,322,308,283,102,111,101,93,148,18,7,14,15,11,109,84,136,102,153,68,56,97,61,94,41,28,38,35,57,0,0,1,6,2,1,2,2,4,0,930,985,1046,949,870,1092,931,1142,1079,1113,2029.89,1877.57,2268.76,2178.98,1838.06,8.64,17.47,35.04,8.79,8.84,198.67,157.19,192.71,175.72,159.06,1209.29,1205.14,1524.19,1397.01,1060.42,613.28,497.77,516.82,597.46,609.74,2686.36,2384.08,2969.54,2398.64,2527.33,1658.46,1484.59,1480.39,1739.67,1793.87,6003.28,6724.32,6893.88,6159.13,5849.97,2513.6,3082.71,3065.89,2504.07,1944.1,2453.14,2611.13,2820.62,2706.15,2500.82,881.06,969.35,884.73,817.12,1307.85,155.48,61.13,122.64,131.79,97.2,941.52,733.56,1191.32,896.19,1352.03,587.37,489.04,849.69,535.96,830.66,354.15,244.52,332.87,307.52,503.7,0,0,8.76,52.72,17.67,8.64,17.47,17.52,35.14,0,8033.17,8601.9,9162.64,8338.11,7688.03,9432.5,8130.32,10003.57,9480.32,9835.38,-9.45,2.31,-19.94,-12.31,-0.58,-5.92,8.16,-2.55,-22.66,1.94,48.44,-37.48,43.6,41.42,42.23,,-100,-4.3,4.27
Downtown,219,245,213,252,216,2,0,1,1,1,17,18,15,28,17,132,137,116,155,140,68,90,81,68,58,447,457,495,462,479,61,63,67,64,54,1200,1247,1242,1120,1022,114,130,100,123,86,972,956,985,868,828,109,159,156,122,108,5,2,1,7,0,192,185,311,333,276,147,154,237,261,188,36,30,47,44,60,9,1,27,28,28,18,17,33,18,3,1419,1492,1455,1372,1238,1332,1266,1610,1605,1510,2314.03,2617.25,2282.39,2708.47,2334.91,21.13,0,10.72,10.75,10.81,179.63,192.29,160.73,300.94,183.77,1394.76,1463.52,1242.99,1665.92,1513.37,718.51,961.44,867.95,730.86,626.97,4723.16,4881.97,5304.14,4965.52,5177.89,644.55,673.01,717.93,687.86,583.73,12679.63,13321.27,13308.58,12037.63,11047.6,1204.56,1388.75,1071.54,1321.99,929.64,10270.5,10212.62,10554.71,9329.16,8950.5,1151.73,1698.54,1671.61,1311.24,1167.46,52.83,21.37,10.72,75.24,0,2028.74,1976.29,3332.5,3579.05,2983.5,1553.25,1645.13,2539.56,2805.2,2032.24,380.39,320.48,503.63,472.91,648.59,95.1,10.68,289.32,300.94,302.67,190.19,181.61,353.61,193.46,32.43,14993.66,15938.52,15590.97,14746.1,13382.51,14074.39,13524.24,17251.86,17250.35,16322.78,0.9,-48.84,2.3,8.5,-12.74,9.63,-9.44,-12.87,-22.82,-12.85,1.37,-100,47.06,30.84,70.51,218.26,-82.95,-10.75,15.98
Edgewater,49,57,59,76,52,2,1,0,2,0,2,3,3,3,6,26,35,39,45,25,19,18,17,26,21,105,85,78,93,85,51,49,54,47,42,272,325,319,309,261,120,123,135,106,82,121,147,147,153,121,29,51,36,50,54,2,4,1,0,4,41,50,32,41,27,23,16,18,18,19,18,34,13,20,7,0,0,1,3,1,1,0,1,1,0,321,382,378,385,313,340,322,330,304,308,837.61,985.08,1022.78,1321.46,909.37,34.19,17.28,0,34.78,0,34.19,51.85,52.01,52.16,104.93,444.44,604.88,676.07,782.45,437.2,324.79,311.08,294.7,452.08,367.24,1794.87,1468.98,1352.15,1617.05,1486.47,871.79,846.83,936.1,817.22,734.49,4649.57,5616.7,5529.93,5372.8,4564.32,2051.28,2125.71,2340.25,1843.09,1434,2068.38,2540.48,2548.28,2660.32,2116.03,495.73,881.39,624.07,869.38,944.34,34.19,69.13,17.34,0,69.95,700.85,864.11,554.73,712.9,472.17,393.16,276.51,312.03,312.98,332.27,307.69,587.59,225.36,347.75,122.41,0,0,17.34,52.16,17.49,17.09,0,17.34,17.39,0,5487.18,6601.79,6552.71,6694.26,5473.69,5811.97,5564.86,5720.62,5285.86,5386.25,8.57,-100,206.9,-1.63,13.07,-17.18,-15.75,-1.83,-30.09,2.3,90.49,104.59,-32.63,-15.49,-60.22,,-100,-0.25,-7.32
Euclid-Green,69,66,65,62,65,0,0,2,2,0,7,4,11,5,5,35,30,28,31,36,27,32,24,24,24,97,78,109,110,78,68,64,60,89,70,217,290,261,237,241,96,149,119,88,79,77,86,107,105,118,42,52,30,41,42,2,3,5,3,2,58,50,41,50,35,44,34,26,35,15,14,16,15,14,19,0,0,0,1,1,1,1,0,1,4,286,356,326,299,306,464,359,425,476,412,1247.06,1205.97,1191.35,1139.8,1201.83,0,0,36.66,36.77,0,126.51,73.09,201.61,91.92,92.45,632.57,548.17,513.19,569.9,665.63,487.98,584.71,439.88,441.21,443.75,1753.12,1425.24,1997.79,2022.23,1442.2,1228.99,1169.43,1099.7,1636.16,1294.28,3921.92,5298.97,4783.71,4356.98,4456.03,1735.04,2722.57,2181.08,1617.78,1460.69,1391.65,1571.42,1961.14,1930.31,2181.79,759.08,950.16,549.85,753.74,776.57,36.15,54.82,91.64,55.15,36.98,1048.26,913.62,751.46,919.19,647.14,795.23,621.26,476.54,643.44,277.35,253.03,292.36,274.93,257.37,351.31,0,0,0,18.38,18.49,18.07,18.27,0,18.38,73.96,5168.99,6504.94,5975.05,5496.78,5657.86,8386.05,6559.76,7789.56,8750.72,7617.78,-3.63,,-26.92,5.23,-9.06,-17.74,5.31,13.62,-15.81,56.78,2.3,2.3,-38.27,-65.12,38.84,,309.3,9.46,-9.16
Fairfax,163,176,177,184,165,4,2,2,1,2,8,6,16,15,11,96,107,94,115,93,55,61,65,53,59,223,199,197,202,215,118,87,98,126,117,507,503,418,461,439,240,214,155,164,141,198,194,183,224,208,64,89,78,70,83,5,6,2,3,7,69,58,86,60,36,50,35,46,29,24,18,23,36,26,12,1,0,4,5,0,0,2,4,2,2,670,679,595,645,604,748,605,745,714,671,2612.6,2852.01,2877.02,2999.86,2705.58,64.11,32.41,32.51,16.3,32.79,128.23,97.23,260.07,244.55,180.37,1538.71,1733.89,1527.91,1874.91,1524.96,881.55,988.48,1056.53,864.09,967.45,3574.29,3224.72,3202.11,3293.32,3525.46,1891.33,1409.8,1592.93,2054.25,1918.5,8126.3,8150.93,6794.32,7515.95,7198.49,3846.77,3467.79,2519.43,2673.79,2312.04,3173.59,3143.7,2974.55,3652,3410.67,1025.81,1442.21,1267.84,1141.25,1360.99,80.14,97.23,32.51,48.91,114.78,1105.95,939.87,1397.88,978.21,590.31,801.41,567.16,747.7,472.8,393.54,288.51,372.71,585.16,423.89,196.77,16.03,0,65.02,81.52,0,0,32.41,65.02,32.61,32.79,10738.9,11002.94,9671.34,10515.8,9904.07,11989.1,9803.8,12109.5,11640.75,11002.7,3.56,-48.85,40.66,-0.89,9.74,-1.37,1.44,-11.42,-39.9,7.47,32.67,43.22,-46.62,-50.89,-31.8,-100,,-7.77,-8.23
Glenville,527,501,551,555,526,13,9,10,7,9,29,31,41,26,39,264,250,287,304,276,221,211,213,218,202,624,571,555,644,573,462,421,473,475,432,1624,1636,1592,1565,1486,857,868,763,635,585,492,501,571,586,619,232,245,233,323,257,43,22,25,21,25,471,494,442,209,224,387,387,328,162,165,83,105,111,42,53,1,2,3,5,6,3,10,6,12,7,2151,2137,2143,2120,2012,2734,2270,2635,2505,2420,1935.08,1859.86,2051.75,2072.9,1975.91,47.73,33.41,37.24,26.14,33.81,106.48,115.08,152.67,97.11,146.5,969.38,928.07,1068.7,1135.43,1036.79,811.49,783.29,793.15,814.22,758.81,2291.25,2119.72,2066.65,2405.32,2152.46,1696.41,1562.88,1761.31,1774.11,1622.8,5963.13,6073.32,5928.11,5845.22,5582.12,3146.8,3222.27,2841.18,2371.7,2197.54,1806.57,1859.86,2126.23,2188.69,2325.26,851.88,909.51,867.62,1206.39,965.41,157.89,81.67,93.09,78.43,93.91,1729.46,1833.87,1645.87,780.61,841.45,1421.02,1436.66,1221.37,605.06,619.82,304.77,389.79,413.33,156.87,199.09,3.67,7.42,11.17,18.67,22.54,11.02,37.12,22.34,44.82,26.3,7898.22,7933.18,7979.87,7918.12,7558.03,10038.92,8426.91,9811.92,9356.08,9090.67,2.11,-29.16,37.58,6.95,-6.49,-6.06,-4.34,-6.39,-30.17,28.71,13.33,-40.52,-51.35,-56.38,-34.68,514.17,138.66,-4.31,-9.45
Goodrich-Kirtland Pk,79,85,108,87,110,0,3,4,0,1,6,1,13,15,18,41,57,63,50,50,32,24,28,22,41,139,109,119,119,117,54,31,33,43,29,436,459,440,374,375,185,162,141,128,94,175,236,223,185,218,67,57,67,57,57,9,4,9,4,6,31,53,38,34,35,19,37,24,24,24,12,16,13,10,10,0,0,1,0,1,1,0,2,0,2,515,544,548,461,485,447,333,416,409,393,1864.09,2027.74,2584.33,2088.12,2655.36,0,71.57,95.72,0,24.14,141.58,23.86,311.08,360.02,434.51,967.44,1359.78,1507.52,1200.07,1206.98,755.07,572.54,670.01,528.03,989.73,3279.85,2600.28,2847.55,2856.17,2824.34,1274.19,739.53,789.66,1032.06,700.05,10287.87,10949.79,10528.75,8976.53,9052.37,4365.27,3864.63,3373.98,3072.18,2269.13,4129.31,5629.96,5336.16,4440.26,5262.44,1580.93,1359.78,1603.24,1368.08,1375.96,212.36,95.42,215.36,96.01,144.84,731.48,1264.35,909.3,816.05,844.89,448.32,882.66,574.3,576.03,579.35,283.15,381.69,311.08,240.01,241.4,0,0,23.93,0,24.14,23.6,0,47.86,0,48.28,12151.96,12977.53,13113.07,11064.65,11707.73,10547.43,7943.96,9954.45,9816.58,9486.88,42.45,,206.9,24.76,31.08,-13.89,-45.06,-12.01,-48.02,27.44,-12.97,-31.8,15.5,29.23,-14.74,,104.58,-3.66,-10.06
Hopkins,6,4,4,3,3,0,0,0,0,0,0,0,0,0,0,2,3,3,0,3,4,1,1,3,0,15,13,19,12,11,6,7,4,4,4,98,113,111,113,109,9,9,8,6,6,77,94,95,89,91,12,10,8,16,10,0,0,0,2,2,10,7,17,18,10,10,7,14,12,5,0,0,3,6,4,0,0,0,0,1,0,0,0,0,1,104,117,115,116,112,113,54,129,110,106,2941.18,1982.37,1988.45,1495.85,1504.47,0,0,0,0,0,0,0,0,0,0,980.39,1486.77,1491.34,0,1504.47,1960.78,495.59,497.11,1495.85,0,7352.94,6442.69,9445.14,5983.41,5516.38,2941.18,3469.14,1988.45,1994.47,2005.96,48039.22,56001.83,55179.49,56343.77,54662.33,4411.76,4460.32,3976.9,2991.7,3008.94,37745.1,46585.59,47225.69,44376.95,45635.52,5882.35,4955.91,3976.9,7977.88,5014.89,0,0,0,997.23,1002.98,4901.96,3469.14,8450.91,8975.11,5014.89,4901.96,3469.14,6959.58,5983.41,2507.45,0,0,1491.34,2991.7,2005.96,0,0,0,0,501.49,0,0,0,0,501.49,50980.39,57984.2,57167.94,57839.63,56166.8,55392.16,26761.94,64127.52,54847.92,53157.86,-48.85,,,53.46,-100,-24.98,-31.8,13.79,-31.8,20.9,-14.75,,2.3,-48.85,,,,10.17,-4.03
Hough,214,190,190,224,196,4,6,5,5,3,8,11,11,20,14,108,95,83,102,96,94,78,91,97,83,359,248,287,314,274,234,187,182,182,187,634,575,635,574,447,316,249,269,197,134,224,213,239,246,209,82,97,120,117,97,12,16,7,14,7,118,102,115,88,81,86,67,64,51,40,31,35,51,35,40,1,0,0,2,1,1,2,2,0,4,848,765,825,798,643,1260,856,1058,1047,990,1862.49,1671.81,1676.94,1983.01,1745.13,34.81,52.79,44.13,44.26,26.71,69.63,96.79,97.09,177.05,124.65,939.95,835.91,732.56,902.98,854.76,818.1,686.32,803.17,858.72,739.01,3124.46,2182.16,2533.07,2779.76,2439.62,2036.55,1645.42,1606.34,1611.2,1665,5517.84,5059.43,5604.52,5081.47,3979.97,2750.22,2190.95,2374.2,1743.99,1193.1,1949.52,1874.19,2109.42,2177.77,1860.88,713.66,853.5,1059.12,1035.77,863.66,104.44,140.78,61.78,123.94,62.33,1026.98,897.5,1014.99,779.04,721.2,748.48,589.53,564.87,451.49,356.15,269.8,307.97,450.13,309.85,356.15,8.7,0,0,17.71,8.9,8.7,17.6,17.65,0,35.61,7380.33,6731.24,7281.47,7064.49,5725.1,10966.06,7531.95,9337.93,9268.82,8814.69,-6.3,-23.27,79.02,-9.06,-9.67,-21.92,-18.24,-27.87,-56.62,-4.55,21.02,-40.32,-29.77,-52.42,32.01,2.3,309.31,-22.43,-19.62
Jefferson,145,131,158,137,150,1,0,0,0,3,10,11,22,15,13,84,83,103,82,89,50,37,33,40,45,231,222,230,238,236,167,186,158,177,181,777,893,945,1083,1001,219,300,328,336,249,440,438,475,615,618,112,144,137,125,124,6,11,5,7,10,76,42,53,61,56,54,28,32,33,33,22,12,20,28,20,0,2,1,0,3,5,1,4,2,1,922,1024,1103,1220,1151,942,748,916,926,994,876.24,800.35,968.27,842.12,927.34,6.04,0,0,0,18.55,60.43,67.2,134.82,92.2,80.37,507.61,507.09,631.21,504.04,550.22,302.15,226.05,202.23,245.87,278.2,1395.94,1356.32,1409.51,1462.95,1459.01,1009.19,1136.37,968.27,1087.99,1118.99,4695.43,5455.82,5791.23,6657.03,6188.43,1323.42,1832.86,2010.08,2065.34,1539.38,2658.93,2675.98,2910.94,3780.31,3820.63,676.82,879.77,839.58,768.36,766.6,36.26,67.2,30.64,43.03,61.82,459.27,256.6,324.8,374.96,346.21,326.32,171.07,196.11,202.85,204.01,132.95,73.31,122.57,172.11,123.64,0,12.22,6.13,0,18.55,30.22,6.11,24.51,12.29,6.18,5571.67,6256.17,6759.5,7499.15,7115.77,5692.53,4569.94,5613.51,5691.98,6145.15,5.83,207.12,33,8.39,-7.93,4.52,10.88,31.8,16.32,43.69,13.26,70.49,-24.62,-37.48,-7,,-79.55,27.71,7.95
Kamm's,88,104,84,105,101,0,2,0,1,3,11,20,16,16,18,45,45,35,51,50,32,37,33,37,30,193,182,189,208,189,135,135,124,122,122,620,631,772,742,776,204,196,226,203,209,336,339,441,425,444,78,94,104,100,121,2,2,1,14,2,29,27,25,33,26,20,16,17,17,11,9,9,8,15,15,0,2,0,1,0,3,0,0,0,1,708,735,856,847,877,694,658,693,774,713,348.53,416.43,337.38,423,409.23,0,8.01,0,4.03,12.16,43.57,80.08,64.26,64.46,72.93,178.22,180.19,140.58,205.46,202.59,126.74,148.15,132.54,149.06,121.55,764.39,728.75,759.11,837.95,765.79,534.67,540.56,498.04,491.49,494.32,2455.54,2526.62,3100.69,2989.22,3144.19,807.95,784.81,907.71,817.8,846.83,1330.75,1357.41,1771.25,1712.15,1799,308.92,376.39,417.71,402.86,490.27,7.92,8.01,4.02,56.4,8.1,114.86,108.11,100.41,132.94,105.35,79.21,64.07,68.28,68.49,44.57,35.64,36.04,32.13,60.43,60.78,0,8.01,0,4.03,0,11.88,0,0,0,4.05,2804.07,2943.05,3438.07,3412.22,3553.43,2748.62,2634.73,2783.39,3118.13,2888.93,17.42,,67.39,13.67,-4.09,0.18,-7.55,28.04,4.81,35.19,58.7,2.27,-8.28,-43.73,70.54,,-65.91,26.72,5.1
Kinsman,142,163,137,140,108,2,4,7,3,2,10,11,14,11,7,72,76,73,71,38,58,72,43,55,61,210,141,146,176,153,135,144,145,155,155,393,436,386,389,396,188,211,169,150,167,128,131,130,133,135,70,89,81,100,84,7,5,6,6,10,77,64,59,59,40,51,47,36,36,31,23,15,20,18,9,3,2,3,5,0,1,6,3,0,5,535,599,523,529,504,694,564,685,667,664,2038.47,2365.69,1994.44,2044.29,1586.11,28.71,58.05,101.91,43.81,29.37,143.55,159.65,203.81,160.62,102.8,1033.59,1103.02,1062.73,1036.75,558.07,832.62,1044.97,625.99,803.11,895.86,3014.64,2046.4,2125.47,2569.96,2246.98,1937.98,2089.94,2110.91,2263.32,2276.36,5641.69,6327.86,5619.38,5680.2,5815.72,2698.82,3062.34,2460.3,2190.31,2452.59,1837.5,1901.26,1892.54,1942.07,1982.63,1004.88,1291.7,1179.2,1460.21,1233.64,100.49,72.57,87.35,87.61,146.86,1105.37,928.86,858.92,861.52,587.45,732.13,682.13,524.09,525.67,455.27,330.18,217.7,291.16,262.84,132.18,43.07,29.03,43.67,73.01,0,14.36,87.08,43.67,0,73.43,7680.16,8693.55,7613.83,7724.49,7401.83,9962.68,8185.58,9972.22,9739.58,9751.61,-22.19,2.3,-28.39,-46.01,7.6,-25.46,17.46,3.08,-9.12,7.9,22.76,46.14,-46.85,-37.82,-59.97,-100,411.35,-3.62,-2.12
Lee-Harvard,132,127,128,176,102,5,4,1,4,3,6,1,6,7,8,89,78,86,123,55,32,44,35,42,36,128,129,114,142,112,94,75,84,88,110,457,580,502,560,439,183,280,245,236,180,160,160,172,186,170,102,135,82,126,81,12,5,3,12,8,40,35,27,27,32,28,24,18,22,25,10,8,6,5,5,2,3,3,0,2,0,1,2,1,1,589,707,630,736,541,556,485,509,572,575,1278.33,1243.44,1257.08,1733.72,1010.55,48.42,39.16,9.82,39.4,29.72,58.11,9.79,58.93,68.95,79.26,861.9,763.69,844.6,1211.63,544.91,309.9,430.8,343.73,413.73,356.67,1239.59,1263.02,1119.59,1398.79,1109.63,910.32,734.32,824.96,866.86,1089.81,4425.72,5678.71,4930.11,5516.37,4349.35,1772.23,2741.45,2406.13,2324.76,1783.33,1549.49,1566.54,1689.2,1832.22,1684.26,987.8,1321.77,805.32,1241.18,802.5,116.21,48.95,29.46,118.21,79.26,387.37,342.68,265.17,265.97,317.04,271.16,234.98,176.78,216.71,247.68,96.84,78.33,58.93,49.25,49.54,19.37,29.37,29.46,0,19.81,0,9.79,19.64,9.85,9.91,5704.05,6922.15,6187.19,7250.09,5359.9,5384.47,4748.58,4998.86,5634.58,5696.75,-20.95,-38.62,36.4,-36.78,15.09,-10.48,19.72,-1.73,0.63,8.7,-18.76,-31.8,-18.16,-8.66,-48.84,2.27,,-6.03,5.8
Lee-Seville,37,28,38,55,37,3,0,2,1,3,4,2,5,4,2,12,14,16,28,16,18,12,15,22,16,53,58,63,56,39,43,53,53,47,52,191,238,243,213,226,93,137,125,85,97,47,53,68,67,66,43,47,49,60,58,8,1,1,1,5,6,14,13,13,13,4,12,11,11,10,2,2,1,1,3,0,0,1,1,0,1,0,1,0,0,228,266,281,268,263,207,197,287,260,247,822.95,629.63,857.12,1244.33,841.91,66.73,0,45.11,22.62,68.26,88.97,44.97,112.78,90.5,45.51,266.9,314.82,360.89,633.47,364.07,400.36,269.84,338.34,497.73,364.07,1178.83,1304.23,1421.02,1266.95,887.42,956.41,1191.8,1195.46,1063.33,1183.23,4248.22,5351.86,5481.06,4818.93,5142.5,2068.51,3080.69,2819.48,1923.05,2207.18,1045.37,1191.8,1533.8,1515.81,1501.79,956.41,1056.88,1105.24,1357.45,1319.76,177.94,22.49,22.56,22.62,113.77,133.45,314.82,293.23,294.11,295.81,88.97,269.84,248.11,248.87,227.54,44.48,44.97,22.56,22.62,68.26,0,0,22.56,22.62,0,22.24,0,22.56,0,0,5071.17,5981.49,6338.18,6063.26,5984.41,4604.09,4429.9,6473.52,5882.27,5620.34,2.3,2.29,-48.85,36.41,-9.06,-24.72,23.72,21.05,6.7,43.66,37.99,-36.06,121.66,155.75,53.46,,-100,18.01,22.07
Mount Pleasant,290,280,320,283,304,3,3,6,2,7,14,15,24,24,31,158,131,149,147,125,115,131,141,110,141,382,337,390,370,344,272,246,290,289,312,1030,1134,976,979,925,565,587,447,389,365,294,302,344,346,362,156,233,174,233,180,15,12,11,11,18,173,157,109,134,93,112,114,81,94,79,58,41,22,36,13,3,2,6,4,1,4,1,3,2,6,1320,1414,1296,1262,1229,1539,1230,1467,1520,1432,1674.36,1634.42,1873.64,1662.02,1795.63,17.32,17.51,35.13,11.75,41.35,80.83,87.56,140.52,140.95,183.11,912.24,764.68,872.42,863.31,738.34,663.97,764.68,825.57,646.01,832.84,2205.54,1967.14,2283.5,2172.96,2031.9,1570.44,1435.96,1697.99,1697.26,1842.89,5946.88,6619.41,5714.61,5749.53,5463.69,3262.12,3426.45,2617.25,2284.54,2155.94,1697.46,1762.84,2014.17,2032.01,2138.22,900.69,1360.07,1018.79,1368.38,1063.2,86.61,70.05,64.41,64.6,106.32,998.85,916.44,638.21,786.96,549.32,646.65,665.44,474.27,552.05,466.63,334.87,239.33,128.81,211.42,76.79,17.32,11.67,35.13,23.49,5.91,23.09,5.84,17.57,11.75,35.44,7621.25,8253.83,7588.26,7411.55,7259.32,8885.68,7179.78,8589.48,8926.75,8458.38,7.24,138.74,126.54,-19.06,25.43,-7.87,17.35,-8.13,-33.91,25.97,18.04,22.76,-45,-27.84,-77.07,-65.88,53.49,-4.75,-4.81
North Shore Collinwood,130,143,147,187,175,2,1,4,4,1,9,11,12,19,17,67,79,72,97,83,52,52,59,67,74,258,240,245,313,274,215,166,167,205,189,691,779,797,751,638,325,361,343,291,248,271,306,320,332,281,91,110,129,124,103,4,2,5,4,6,92,77,131,96,42,66,56,88,57,33,25,21,42,38,9,1,0,1,1,0,3,12,3,3,1,821,922,944,938,813,1013,865,1028,1121,1011,824.45,916.88,945.42,1206.32,1135.41,12.68,6.41,25.73,25.8,6.49,57.08,70.53,77.18,122.57,110.3,424.91,506.53,463.06,625.74,538.51,329.78,333.41,379.46,432.21,480.12,1636.23,1538.82,1575.7,2019.14,1777.73,1363.52,1064.35,1074.05,1322.44,1226.24,4382.29,4994.76,5125.86,4844.63,4139.39,2061.14,2314.65,2205.98,1877.22,1609.04,1718.67,1962,2058.06,2141.7,1823.15,577.12,705.29,829.66,799.91,668.27,25.37,12.82,32.16,25.8,38.93,583.46,493.71,842.52,619.29,272.5,418.57,359.06,565.97,367.7,214.11,158.55,134.65,270.12,245.13,58.39,6.34,0,6.43,6.45,0,19.03,76.94,19.29,19.35,6.49,5206.75,5911.64,6071.28,6050.95,5274.8,6424.4,5546.17,6611.52,7231.47,6559.43,37.72,-48.82,93.24,26.74,45.59,8.65,-10.07,-5.54,-21.93,6.08,15.79,53.45,-53.3,-48.85,-63.17,-100,-65.9,1.31,2.1
Ohio City,156,183,168,187,151,2,4,3,2,3,12,17,18,5,10,105,117,96,118,96,37,45,51,62,42,242,187,234,228,210,114,130,90,79,97,617,742,848,646,528,200,234,269,194,109,294,369,466,339,291,113,135,107,108,125,10,4,6,5,3,94,70,64,62,58,55,31,38,39,32,36,36,23,22,24,3,3,3,1,2,5,2,0,1,3,773,925,1016,833,679,831,710,813,753,701,1787.76,2120.26,1952.45,2179.84,1770.33,22.92,46.34,34.87,23.31,35.17,137.52,196.96,209.19,58.28,117.24,1203.3,1355.58,1115.68,1375.51,1125.51,424.02,521.38,592.71,722.73,492.41,2773.32,2166.61,2719.48,2657.77,2462.04,1306.44,1506.2,1045.95,920.89,1137.23,7070.82,8596.92,9855.2,7530.35,6190.28,2292,2711.16,3126.24,2261.44,1277.92,3369.24,4275.29,5415.71,3951.68,3411.69,1294.98,1564.13,1243.52,1258.94,1465.5,114.6,46.34,69.73,58.28,35.17,1077.24,811.03,743.79,722.73,679.99,630.3,359.17,441.62,454.62,375.17,412.56,417.1,267.3,256.45,281.38,34.38,34.76,34.87,11.66,23.45,57.3,23.17,0,11.66,35.17,8858.58,10717.18,11807.65,9710.18,7960.61,9523.26,8226.16,9448.44,8777.63,8218.54,-0.97,53.45,-14.75,-6.46,16.13,-11.22,-12.95,-12.45,-44.24,1.26,13.17,-69.31,-36.88,-40.48,-31.8,-31.79,-38.62,-10.14,-13.7
Old Brooklyn,175,185,136,176,161,0,0,0,1,2,19,20,13,18,25,72,90,61,75,65,84,75,62,82,69,451,467,415,430,388,276,310,311,299,314,1283,1202,1212,1220,1215,536,498,469,472,464,537,485,539,505,505,202,210,200,236,236,8,9,4,7,10,98,57,56,73,113,65,42,31,43,60,32,15,23,30,50,1,0,2,0,3,2,1,2,5,0,1458,1387,1348,1396,1376,1544,1394,1597,1595,1554,546.72,584.32,430.88,559.29,514.57,0,0,0,3.18,6.39,59.36,63.17,41.19,57.2,79.9,224.94,284.27,193.26,238.33,207.75,262.43,236.89,196.43,260.58,220.53,1408.98,1475.02,1314.8,1366.45,1240.08,862.26,979.14,985.31,950.16,1003.57,4008.25,3796.53,3839.86,3876.91,3883.26,1674.53,1572.94,1485.89,1499.92,1482.99,1677.65,1531.88,1707.66,1604.79,1614.03,631.07,663.29,633.64,749.96,754.28,24.99,28.43,12.67,22.24,31.96,306.16,180.03,177.42,231.98,361.16,203.07,132.66,98.21,136.65,191.77,99.97,47.38,72.87,95.33,159.8,3.12,0,6.34,0,9.59,6.25,3.16,6.34,15.89,0,4554.97,4380.85,4270.74,4436.2,4397.83,4823.64,4402.96,5059.62,5068.58,4966.73,-5.88,,34.6,-7.64,-15.97,-11.99,16.39,-3.12,-11.44,-3.79,19.52,27.89,17.96,-5.56,59.85,207.37,-100,-3.45,2.97
