neighbor10,ams_res2011,ams_res2012,ams_res2013,ams_res2014,ams_res2015,res_occ2011,res_occ2012,res_occ2013,res_occ2014,res_occ2015,ams_bus2011,ams_bus2012,ams_bus2013,ams_bus2014,ams_bus2015,bus_occ2011,bus_occ2012,bus_occ2013,bus_occ2014,bus_occ2015,_res_occ2011,_res_occ2012,_res_occ2013,_res_occ2014,_res_occ2015,_bus_occ2011,_bus_occ2012,_bus_occ2013,_bus_occ2014,_bus_occ2015,pctchgrt_res,pctchgrt_bus
Goodrich-Kirtland Pk,2563,3229.25,3226.25,3231.75,3234,2338.25,3018.25,3016,3017.5,3054,1145,1249.25,1245.75,1229.25,1236,1008,1105.5,1100.25,1068.5,1082.25,91.23,93.47,93.48,93.37,94.43,88.03,88.49,88.32,86.92,87.56,3.51,-0.53
Hopkins,271.59437984,736.23821102,759.69866662,783.49048377,801.25841887,267.40139349,733.23605608,756.91305332,780.56125923,798.682064,165.02173367,371.88626128,349.33420327,325.3955973,310.89117335,157.00022557,366.40845239,344.92614719,316.53021403,296.67986211,98.46,99.59,99.63,99.63,99.68,95.14,98.53,98.74,97.28,95.43,1.24,0.3
Hough,6827.6722316,7015.3025228,6971.8198244,6875.0809549,6841.2004647,5907.1134265,6076.8756049,5994.9965983,5879.6978045,5845.5860525,331.10747603,380.40523739,371.02952503,360.70658516,352.06227678,298.92257439,349.70697196,338.9819949,326.92621189,322.33140621,86.52,86.62,85.99,85.52,85.45,90.28,91.93,91.36,90.63,91.56,-1.24,1.42
Jefferson,7588.0464257,7649.9499265,7653.3683063,7620.9901621,7579.9007608,7038.5072621,7147.9780604,7160.7729365,7181.5005283,7226.4560565,524.34795095,534.91381509,531.27435865,527.30344475,526.08139636,456.48915898,468.90483154,469.85856228,465.71663224,467.36589369,92.76,93.44,93.56,94.23,95.34,87.06,87.66,88.44,88.32,88.84,2.78,2.04
Kamm's,12447.152032,13124.082023,13161.469965,13041.696839,13109.078737,11928.397128,12689.863492,12753.121174,12664.960935,12811.899128,632.75622179,737.4075571,721.54298058,705.45250045,704.18274642,540.88753224,645.33926894,635.3630246,624.75174885,634.21547122,95.83,96.69,96.9,97.11,97.73,85.48,87.51,88.06,88.56,90.06,1.98,5.36
Kinsman,4201.3361364,4148.2123876,4029.8251154,3663.2872651,3635.4718747,3468.3074452,3406.1235745,3391.7643201,3013.2879697,3017.0111278,250.4534567,247.9161896,245.35642651,238.05259955,232.25313895,218.79871335,212.45785002,209.46461122,202.90192846,196.30257035,82.55,82.11,84.17,82.26,82.99,87.36,85.7,85.37,85.23,84.52,0.53,-3.25
Lee-Harvard,4962.4048781,5480.9909408,5501.4391986,5308.9649826,5231.0682927,4688.6695122,5239.8850174,5238.2207317,5038.6167247,4953.0045296,278.08745645,415.58745645,394.83745645,349.33745645,335.58745645,262.5184669,401.5184669,378.5184669,331.50121952,316.59599304,94.48,95.6,95.22,94.91,94.68,94.4,96.61,95.87,94.89,94.34,0.21,-0.06
Lee-Seville,2322.2436456,2302.6185548,2296.8988744,2294.483297,2301.1621278,2081.7786856,2058.9473493,2036.068809,2025.098947,2025.8184459,176.9667756,177.63907044,177.40595497,177.94989107,177.90595497,154.31463326,152.89905592,147.62200435,143.74364561,144.51053013,89.65,89.42,88.64,88.26,88.03,87.2,86.07,83.21,80.78,81.23,-1.81,-6.85
Mount Pleasant,10492.135292,10405.839224,10337.58433,10277.170155,10139.902508,8120.8257343,7964.9758862,7728.2902231,7504.5429631,7584.9165625,332.27959277,329.29882354,328.9325406,326.99113123,324.59573597,270.40378647,266.04468667,264.1756132,257.60403056,261.00870171,77.4,76.54,74.76,73.02,74.8,81.38,80.79,80.31,78.78,80.41,-3.36,-1.19
North Shore Collinwood,9311.9746402,9293.9829123,9269.8494048,9228.9691367,9153.0223727,8215.7230542,8117.9726282,8052.1678567,8016.7258844,7937.1410509,552.28447812,545.13289096,542.67011522,535.45113544,535.4107335,471.0093593,462.77569046,448.51206621,428.57585522,431.42145467,88.23,87.35,86.86,86.86,86.72,85.28,84.89,82.65,80.04,80.58,-1.71,-5.51
Ohio City,4989.5710966,4943.3120526,5015.4158903,5008.3609945,5063.2124012,4406.0834895,4424.4561436,4525.785007,4516.1230825,4611.1452307,814.16171942,811.89751948,810.43143038,811.52462781,788.06932374,703.61312719,698.92971927,702.83678535,707.3279804,699.60546172,88.31,89.5,90.24,90.17,91.07,86.42,86.09,86.72,87.16,88.77,3.13,2.72
Old Brooklyn,16150.75,16480.5,16478,16468.5,16389.25,15213,15550.5,15507.25,15445.25,15425.25,1024,1112,1109.5,1109.75,1108.25,874.5,969.75,932,918,926,94.19,94.36,94.11,93.79,94.12,85.4,87.21,84,82.72,83.56,-0.07,-2.15
St.Clair-Superior,4455.75,4337,4259.25,4149.75,4077.5,3451.25,3338.75,3244.75,3184,3137.25,390.5,374.75,372.75,366.75,364.25,334.25,316.5,318.5,313.75,315.5,77.46,76.98,76.18,76.73,76.94,85.6,84.46,85.45,85.55,86.62,-0.67,1.19
Stockyards,4509.0238708,4472.7517607,4484.9021732,4440.8515865,4400.0031294,3720.8423178,3643.2443559,3656.2519786,3628.8993739,3679.0055119,342.1904095,338.73067364,346.56505389,350.82568692,355.26425157,278.30569297,271.87914603,286.31661192,286.65658825,287.83229171,82.52,81.45,81.52,81.72,83.61,81.33,80.26,82.62,81.71,81.02,1.32,-0.38
Tremont,4382.2106985,4359.5431877,4440.6323356,4472.809681,4459.5291985,4026.4000992,4044.1892153,4129.9383713,4172.0390513,4155.2943367,594.43730432,591.01908019,589.30184549,583.12748483,577.10817573,526.91560394,527.03304241,531.36625034,530.58571616,527.98633728,91.88,92.77,93,93.28,93.18,88.64,89.17,90.17,90.99,91.49,1.41,3.22
Union-Miles,10054.909111,10252.414403,10177.184064,10083.701139,9998.4602474,8349.7555929,8501.0753644,8392.2954291,8089.8379064,8183.7004484,556.74277263,615.9405469,609.13681688,605.80331361,591.74335125,462.37912563,505.37240832,497.5201537,487.54675724,474.90834811,83.04,82.92,82.46,80.23,81.85,83.05,82.05,81.68,80.48,80.26,-1.43,-3.36
University,4097.9727163,4098.8490716,4232.6322372,4242.3855249,4229.7216942,3807.2666794,3797.2342863,3905.5089251,3899.3269894,3951.4191265,444.22575544,449.73340624,458.35085463,441.864376,436.54378189,389.48634807,392.04230096,398.61424672,373.48822384,371.29598174,92.91,92.64,92.27,91.91,93.42,87.68,87.17,86.97,84.53,85.05,0.55,-3
West Boulevard,8352.4509468,8326.3126117,8333.2467296,8346.6473,8328.0239535,7347.5701912,7364.4753369,7356.0769318,7411.8404309,7480.8308662,543.31991577,542.78584003,543.49918791,540.09065848,540.59288612,399.68458077,402.53218578,413.80987767,423.78861927,429.78406827,87.97,88.45,88.27,88.8,89.83,73.56,74.16,76.14,78.47,79.5,2.11,8.08
Cleveland City,214039.04588,220526.21087,219877.0187,218952.86989,218281.86816,184499.95181,191024.34888,190069.2766,189051.21453,190647.84117,20392.508288,22300.051658,22132.316114,21838.566114,21668.037201,17198.398612,18886.206438,18683.836546,18273.394372,18240.115459,86.2,86.62,86.44,86.34,87.34,84.34,84.69,84.42,83.67,84.18,1.32,-0.19
Cuyahoga County,643612,660507.5,660026.25,659345.5,661602.75,593946,611363.5,610252,610089,616525,56476.5,62985.5,62596.25,61827.75,62167.25,48326.25,54404.5,53809.5,52398.75,53104.75,92.28,92.56,92.46,92.53,93.19,85.57,86.38,85.96,84.75,85.42,0.99,-0.18
